Chapter,Verse,Word,MS_B,MS_F,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
,,17,לו],לו,Unclassifiable,,,,,
,,18,,ואל,Same,,,,,
,,19,ה̊̊[ ],,Unclassifiable,,,,,
,,20,,תקמיעהו,,,,,,
,,21,,בנגשה,,,,,,
,,22,,ואל,,,,,,
,,23,,תריב,,,,,,
,,24,,עמו,,,,,,
32,1,1,[,ראש,,,,,,
,,2,,סמוך,,,,,,
,,3,,אל,,,,,,
,,4,,תותר,,,,,,
,,5,,ובראש,,,,,,
,,6,,עשירים,,,,,,
,,7,],אל,,,,,,
,,8,,,,,,,,
,,9,[],תסתורה,,,,,,
,,10,היה,והיה,Morphological,Determination,,,,
,,11,להם,לך,Morphological,Suffix Pron.,,,,
,,12,כאחד,כאחד,Same,,,,,
,,13,מהם,מהם,Same,,,,,
,2,1,דאג,ד̇אג,Same,,,,,
,,2,להם,להם,Same,,,,,
,,3,ואחר,ואחר,Same,,,,,
,,4,תסוב,תסוב,Same,,,,,
,,5,הכין,הבו,Lexical,,,,,
,,6,צרכם,צרכם,Same,,,,,
,,7,ואח֟ר,ובכן,Lexical,,,,,
,,8,תרבץ,תרבץ,Same,,,,,
,,9,למען,למען,Same,,,,,
,,10,תשמח,תשמח,Same,,,,,
,,11,בכבודם,בכבודם,Same,,,,,
,,12,ועל,ועל,Same,,,,,
,,13,מוסר,מוסר,Same,,,,,
,,14,תשא,תשא,Same,,,,,
,,15,שכל,שכל,Same,,,,,
,3,1,מלל,מלל,Same,,,,,
,,2,שב ,שבט,Lexical,,,,,
,,3,כי,,Plus_Minus,,,,,
,,4,ה֟וא ,הוא,Same,,,,,
,,5,לך,לך,Same,,,,,
,,6,והצנע,והצנע,Same,,,,,
,,7,שכ֟ל,שכל,Same,,,,,
,,8,ואל,ואל,Same,,,,,
,,9,תמנע,תמנע,Same,,,,,
,,10,שיר,שיר,Same,,,,,
,4,1,במקום,במקום,Same,,,,,
,,2,היין,שכל,Lexical,,,,,
,,3,אל,אל,Same,,,,,
,,4,תשפך,תשפך,Same,,,,,
,,5,שיח,שיח,Same,,,,,
,,6,ובלא,ובלא,Same,,,,,
,,7,מזמר,מזמור,Morphological,Grammatical,,,,
,,8,מה,אל,Lexical,,,,,
,,9,תשפך,שיח,Inversion,,,,,
,,10,שיח,תשפך,Inversion,,,,,
,,11,ובל,,Plus_Minus,,,,,
,,12,עת,,Plus_Minus,,,,,
,,13,מה,,Plus_Minus,,,,,
,,14,תתחכם,,Plus_Minus,,,,,
,5,1,כחותם,כחותם,Same,,,,,
,,2,על,על,Same,,,,,
,,3,כיס,כיס,Same,,,,,
,,4,זהב,זהב,Same,,,,,
,,5,שי֟ר,שירת,Morphological,Grammatical,,,,
,,6,אל,אל,Same,,,,,
,,7,על,על,Same,,,,,
,,8,משתה,משתה,Same,,,,,
,,9,היין,היין,Same,,,,,
,,10,כומז,כומז,Same,,,,,
,,11,אודם,אדם,Morphological,Orthographical,,,,
,,12,על,על,Same,,,,,
,,13,ני֟ב֟,טס,Lexical,,,,,
,,14,זהב,זהוב,Morphological,Orthographical,,,,
,,15,משפט,משפט,Same,,,,,
,,16,שיר,שיר,Same,,,,,
,,17,על,על,Same,,,,,
,,18,משתה,משתה,Same,,,,,
,,19,היין,היין,Same,,,,,
,,20,כרביד,כדביר,Same,,,,,
,,21,זהב,זהב,Same,,,,,
,,22,ובו,בו,Morphological,Coordination,,,,
,,23,נפך,נופך,Morphological,Grammatical,,,,
,,,נפך,נופך,Morphological,Orthographical,,,,
,,24,וספיר,,Same,,,,,
,,25,כך,,Plus_Minus,,,,,
,,26,נאים,נואי,Morphological,Grammatical,,,,
,,27,דברים,דברים,Same,,,,,
,,28,יפים,,Plus_Minus,,,,,
,,29,על,על,Same,,,,,
,,30,משתה,מש׳,Same,,,,,
,,31,היין,היין,Same,,,,,
,6,1,,כל,Plus_Minus,,,,,
,,2,מ֟לואות,מלא,Morphological,Singular/Plural,,,,
,,3,פז,פז,Same,,,,,
,,4,וחותם,וחותם,Same,,,,,
,,5,ברקת,ברקת,Same,,,,,
,,6,קול,קול,Same,,Singular/Plural,,,
,,7,מזמור,מזמור,Same,,,,,
,,8,על,על,Same,,,,,
,,9,נועם,נועם,Same,,,,,
,,10,תירוש,תירוש,Same,,,,,
,7,1,דבר,[דב]ר̊,Unclassifiable,,,,,
,,2,נער,נער,Same,,,,,
,,3,אם,,Plus_Minus,,,,,
,,4,צריך,צורך,Morphological,Orthographical,,,,
,,5,את֟ה,אותך,Lexical,,,,,
,,6,בחזק,,Plus_Minus,,,,,
,,7,פעמים,פעמים,Same,,,,,
,,8,ושלש,ושלש,Same,,,,,
,,9,אם,אם,Same,,,,,
,,10,ישא֟לך,ישאלך,Same,,,,,
,14,1,ד̇ו̇ר̊̊ש̇,,Unclassifiable,,,,,
,,2,א̊̊ל,א]ל̇,Unclassifiable,,,,,
,,3,,חי,Plus_Minus,,,,,
,,4,[י]ק̇ו̊̊ה̊̊,וקוה,Unclassifiable,,,,,
,,5,רצ̊̊ון,רצון,Same,,,,,
,,6,,וגם,Plus_Minus,,,,,
,,7,ומתלהלה,מ̊תלהלה,Morphological,,,,,
,,8,יוקש,י̊[,Unclassifiable,,,,,
,,9,בו,[,Unclassifiable,,,,,
,,10,דורש,,Plus_Minus,,,,,
,,11,אל,,Plus_Minus,,,,,
,,12,יקח,,Plus_Minus,,,,,
,,13,מוסר,,Plus_Minus,,,,,
,,14,ומשחרהו,,Plus_Minus,,,,,
,,15,ישיג,,Plus_Minus,,,,,
,,16,מענה,,Plus_Minus,,,,,
,,17,דורש,[דורש,Unclassifiable,,,,,
,,18,חפצי,ח]פצי̊,Unclassifiable,,,,,
,,19,אל,[ אל,Unclassifiable,,,,,
,,20,יק֟ח,י]מצא,Unclassifiable,,,,,
,,21,לקח,לקח,Same,,,,,
,,22,ויענהו,ויענהו,Same,,,,,
,,23,בתפלתו,בכל,Lexical,,,,,
,,24,,ק̊̊צ̊[יעד,Unclassifiable,,,,,
,15,1,דורש,>,Plus_Minus,,,,,
,,2,תורה,>,Plus_Minus,,,,,
,,3,יפיקנה,>,Plus_Minus,,,,,
,,4,ומתלהלה,>,Plus_Minus,,,,,
,,5,יוקש,>,Plus_Minus,,,,,
,,6,בה,>,Plus_Minus,,,,,
,16,1,ירא,[ירא,Unclassifiable,,,,,
,,2,ייי,יוָי,Unclassifiable,,,,,
,,3,יבין,י]ב̊ין,Unclassifiable,,,,,
,,4,משפט,משפט,Same,,,,,
,,5,ותחבולות,ות{ת}חבולות,Same,,,,,
,,6,מנשף,מנ̇ש̊ף̊,Same,,,,,
,,7,יוציא,[ יוציא],Unclassifiable,,,,,
,,8,יראי,[יראי],Unclassifiable,,,,,
,,9,ייי,יוָי,Lexical,Synonym,,,,
,,10,יבינו,י̊בינו,Same,,,,,
,,11,משפטו,משפטו,Same,,,,,
,,12,וכח֟מות,וחכמות,Lexical,Metathesis,,,,
,,13,רבות,,Plus_Minus,,,,,
,,14,יוציאו,יוציאו,Same,,,,,
,,15,מלבם,מלבם̇,Same,,,,,
,17,1,איש,איש,Same,,,,,
,,2,חכ֟ם,חמס,Lexical,Anthonym,,,,
,,3,יטה,יטה,Same,,,,,
,,4,תוכחות,תוכחות,Same,,,,,
,,5,ואח֟ר,ויאחר,Morphological,Grammatical,,,,
,,6,צרכו,צרכו,Same,,,,,
,,7,ימ֟שך,למשך,Morphological,Grammatical,,,,
,,8,תורה,תורה,Same,,,,,
,18,1,איש,איש,Same,,,,,
,,2,חכם,,Plus_Minus,,,,,
,,3,לא,לא,Same,,,,,
,,4,יכסה,י̇כסה,Same,,,,,
,,5,כח֟מה,חכמה,Lexical,Metathesis,,,,
,,6,ולץ,ולץ,Same,,,,,
,,7,לא,לא,Same,,,,,
,,8,ישמר,ישמור,Same,,,,,
,,9,לשונו,לשונו,Same,,,,,
,,10,איש,איש,Same,,,,,
,,11,חכם,חמס,Lexical,Anthonym,,,,
,,12,לא,לא,Same,,,,,
,,13,יקח,יקח,Same,,,,,
,,14,שחד,שכל,Lexical,,,,,
,,15,זד,זד,Same,,,,,
,,16,ולץ,ולץ,Same,,,,,
,,17,לא,לא,Same,,,,,
,,18,ישמר,יקח,Lexical,,,,,
,,19,תורה,מצוה,Lexical,Synonym,,,,
,19,1,בלא,בלא,Same,,,,,
,,2,עצה,עצה,Same,,,,,
,,3,אל,אל,Same,,,,,
,,4,תפעל,תפעל,Same,,,,,
,,5,דבר,דבר,Same,,,,,
,,6,ואחר,ואחר,Same,,,,,
,,7,מעשיך,מעשיך,Same,,,,,
,,8,אל,אל,Same,,,,,
,,9,תתקצף,תתקפץ,Lexical,Metathesis,,,,
,20,1,בדרך,בדרך,Same,,,,,
,,2,מוקשת,מוקשת,Same,,,,,
,,3,אל,אל,Same,,,,,
,,4,תלך,תלך,Same,,,,,
,,5,ואל,ואל,Same,,,,,
,,6,תתקל,תתקל,Same,,,,,
,,7,,בדרך,Plus_Minus,,,,,
,,8,בנגף,נגף,Morphological,Preposition,,,,
,,9,פעמים,,Plus_Minus,,,,,
,21/22,1,אל,>,Plus_Minus,,,,,
,,2,תבטח,>,Plus_Minus,,,,,
,,3,בדרך,>,Plus_Minus,,,,,
,,4,מח֟תף,>,Plus_Minus,,,,,
,,5,ובאחריתך,>,Plus_Minus,,,,,
,,6,הש֟מר,>,Plus_Minus,,,,,
,,7,אל,אל,Same,,,,,
,,8,תבטח,תבטח,Same,,,,,
,,9,בדרך,בדרך,Same,,,,,
,,10,רשעים,רשעים,Same,,,,,
,,11,ובארחתיך,ובאחריתך,Lexical,Metathesis,,,,
,,12,,היה,Plus_Minus,,,,,
,,13,הזהר,זהיר,Morphological,Grammatical,,,,
,23,1,,,,,,,,
,,2,,,,,,,,
,,3,,,,,,,,
,,4,,,,,,,,
,,5,,,,,,,,
,,6,,,,,,,,
,,7,,,,,,,,
,,8,,,,,,,,
,,9,,,,,,,,
,,10,,,,,,,,
,,11,,,,,,,,
,,12,,,,,,,,
,,13,,,,,,,,
,,14,,,,,,,,
,,15,,,,,,,,
,,16,,,,,,,,
,,17,,,,,,,,
,,18,,,,,,,,
,,19,,,,,,,,
,24,1,,,,,,,,
,,2,,,,,,,,
,,3,,,,,,,,
,,4,,,,,,,,
,,5,,,,,,,,
,,6,,,,,,,,
,,7,,,,,,,,
,,8,,,,,,,,
33,1,1,,,,,,,,
,,2,,,,,,,,
,,3,,,,,,,,
,,4,,,,,,,,
,,5,,,,,,,,
,,6,,,,,,,,
,,7,,,,,,,,
,,8,,,,,,,,
,,9,,,,,,,,
,,10,,,,,,,,
,2,1,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,Suffix Pron.,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,Coordination,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
