Chapter ,Verse,Word,MS_A,MS_B,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names
,,11,נִכְבַדִים,ונכבדים,Morphological,Coordination,,,
,,12,נִתָּֽנוּ,נתנו,Same,,,,
,,13,בְיָדֿ,ביד,Same,,,,
,7,1,בְטֶ֥רֶם,[בטרם,Unclassifiable,,,,
,,2,תַ֖חְקר֯,תח]ק̊̊ו̊̊ר,Unclassifiable,,,,
,,3,אַל,אל,Same,,,,
,,4,תְסַלֵף,תסלף,Same,,,,
,,5,בַּקֵּרֽ,בקר,Same,,,,
,,6,לְ֜פָנִֹים,לפנים,Same,,,,
,,7,וְאַחַ֥ר,וא֟חר̇,Same,,,,
,,8,תַזִֿיֹֽׁף,תזיף,Same,,,,
,8,1,>,ש̊̊אול,Plus_Minus,,,,
,,2,>,ובקהל,Plus_Minus,,,,
,,3,>,טע̇ם,Plus_Minus,,,,
,,4,>,שפוט,Plus_Minus,,,,
,,5,>,[בטרם,Unclassifiable,,,,
,,6,>,תשמע],Unclassifiable,,,,
,,7,>,אל,Same,,,,
,,8,>,תשיב,Same,,,,
,,9,>,ובתוך֟,Same,,,,
,,10,>,שיחה̇,Same,,,,
,,11,>,אל,Same,,,,
,,12,>,תדבר,Same,,,,
,,13,בְּנִֹי,[בני,Unclassifiable,,,,
,,14,אַל,אל],Unclassifiable,,,,
,,15,תָשִ֥יבֿ,תשיב,Same,,,,
,,16,דָ֭בָֿר,דבר,Same,,,,
,,17,טֶ֣רֶם,בטרם̊̊,Morphological,Preposition,,,
,,18,תִשְמַ֑ע,תשמע,Same,,,,
,,19,וּבְתֽֿוֹךְ,ו̊̊ב̊̊תוך,Same,,,,
,,20,שִׂיחָׁה,ש̇י̇חה,Same,,,,
,,21,אַל,אל,Same,,,,
,,22,תְדַֿבֵּר,תדבר,Same,,,,
,9,1,באין,ב̇א̇[י]ן,Unclassifiable,,,,
,,2,עצבה,עצה,Lexical,,,,
,,3,אל,אל,Same,,,,
,,4,תאחר,תתור,Lexical,,,,
,,5,וברב,ובריב,Morphological,Orthographical,,,
,,6,זדים,זדים,Same,,,,
,,7,אל,אל,Same,,,,
,,8,תקומם,תקומם,Same,,,,
,10,1,>,אם,Plus_Minus,,,,
,,2,>,תברח,Plus_Minus,,,,
,,3,>,לא,Plus_Minus,,,,
,,4,>,תדביק,Plus_Minus,,,,
,,5,>,ול[את],Unclassifiable,,,,
,,6,>,מלטנ̇ו̇,Plus_Minus,,,,
,,7,>,אם,Plus_Minus,,,,
,,8,>,תנוס,Plus_Minus,,,,
,,9,בני,בני,Same,,,,
,,10,למה,למה̇,Same,,,,
,,11,תרבה,ת̊̊ר̊̊ב̊̊ה̊̊,Same,,,,
,,12,עשקך,ע֟̊̊ש̇ק,Morphological,Suffix Pron.,,,
,,13,ואץ,וא̊̊ץ,Same,,,,
,,14,ו̶להרבות,להרבו̊̊ת,Same,,,,
,,15,לא,לוא,Morphological,Orthographical,,,
,,16,ינקה,ינקה,Same,,,,
,,17,בני,בני,Same,,,,
,,18,אם,אם,Same,,,,
,,19,לא,לא,Same,,,,
,,20,תרוץ,תרו̊̊ץ,Same,,,,
,,21,לא,לא,,,,,
,,22,תגיע,ת̇ג̊̊י̊̊ע,Same,,,,
,,23,ואם,[ו]אם,Unclassifiable,,,,
,,24,לא,לא,Same,,,,
,,25,תבקש,תבקש,Same,,,,
,,26,לא,לא,Same,,,,
,,27,תמצא,ת̇מ̇צ̇א̇,Same,,,,
15,3,1,והאכילתהו,והאכִּילתהו,Same,,,,
,,2,לחם,לחם,Same,,,,
,,3,שכל,שכל,Same,,,,
,,4,ומי,ומיֵ,Same,,,,
,,5,ת̶ב̶ו̶א̶ה̶,ת֟בונה,Unclassifiable,,,,
,,6,תשקנו,תשקנו,Same,,,,
15,4,2,ונשען,ונשען,Same,,,,
,,3,עליה,עליה,Same,,,,
,,4,ולא,ולא,Same,,,,
,,5,ימוט,ימוט,Same,,,,
,,6,ובה,ובה,Same,,,,
,,7,יבטח,יב̇ט̊̊ח̊̊,Same,,,,
,,8,ולא,ו̊̊לא̇,Same,,,,
,,9,יבוש׃,,Unclassifiable,,,,
,5,1,ורוממתהו,ורוממתהו֟,Same,,,,
,,3,מרעהו,מרעהו,Same,,,,
,,4,ובתוך,ובתוך,Same,,,,
,,5,קהל,ק̇[הל,Unclassifiable,,,,
,,6,תפתח,תפתח,Same,,,,
,,7,פיו,פיו,Same,,,,
,6,1,ששון,ששון,Same,,,,
,,2,ושמחה,ושמחה,Same,,,,
,,3,ימצא,תמצא,Morphological,Grammatical,,,
,,4,ושם,וש̇[ם,Unclassifiable,,,,
,,5,עולם,עולם,Same,,,,
,,6,תורישנו,תורישנו,Same,,,,
15,7,1,לא,לא,Same,,,,
,,2,ידריכוה,ידריכוה,Same,,,,
,,3,מתי,מתי,Same,,,,
,,4,שוא,שוא,Same,,,,
,,5,ואנשי,ואנש̇,Unclassifiable,,,,
,,6,זדון,,Unclassifiable,,,,
,,7,לא,,Unclassifiable,,,,
,,8,יראוה׃,,Unclassifiable,,,,
15,8,1,רחוקה,רחוקה,Same,,,,
,,2,היא,היא,Same,,,,
,,3,מלצים,מלצים,Same,,,,
,,4,ואנשי,ואנ̊̊ש̊̊,Unclassifiable,,,,
,,5,כזב,,Unclassifiable,,,,
,,6,לא,,Unclassifiable,,,,
,,7,יזכרוה׃,,Unclassifiable,,,,
,10,1,בפה,בפי,Morphological,Grammatical,,,
,,2,חכם,חכם,Same,,,,
,,3,תאמֵר,תאמר,Same,,,,
,,4,תהלה,תהלה̇,Same,,,,
,,5,ומשל,ומושל,Morphological,Orthographical,,,
,,6,בה,ב̊̊[ה,Unclassifiable,,,,
,,7,ילמדנה,ילמדנה,Same,,,,
,11,1,אל,אל,Same,,,,
,,2,תאמר,תאמר,Same,,,,
,,3,מאל,מאל,Same,,,,
,,4,פשעי,פ̇שעי,Same,,,,
,,5,>,כי֟,Plus_Minus,,,,
,,6,>,כל,Plus_Minus,,,,
,,7,>,אשר,Plus_Minus,,,,
,,8,>,שנא,Plus_Minus,,,,
,,9,>,א̇מ̇ר̇,Plus_Minus,,,,
,,10,>,ל̇ך̇,Plus_Minus,,,,
,,11,>,[לא,Plus_Minus,,,,
,,12,>,תעשה],Plus_Minus,,,,
,,13,>,אל,Plus_Minus,,,,
,,14,>,תאמר,Plus_Minus,,,,
,,15,>,מה,Plus_Minus,,,,
,,16,>,פעלתּי,Plus_Minus,,,,
,,17,כי,כי,Same,,,,
,,18,את,את,Same,,,,
,,19,אשר,אשר,Same,,,,
,,20,שנא,שנא,Same,,,,
,,21,לא,לא,Same,,,,
,,22,עשה,אעש̇[ה׃],Unclassifiable,,,,
,12,1,פן,פן,Same,,,,
,,2,תאמר,תאמר,Same,,,,
,,3,הוא,היא,Lexical,,,,
,,4,התקילני,התקילני,Same,,,,
,,5,כי,כי,Same,,,,
,,6,אין,אין,Same,,,,
,,7,,לי,Plus_Minus,,,,
,,8,צורך,ח֟פץ,Lexical,,,,
,,9,באנשי,באנשי,Same,,,,
,,10,חמס,חמס,Same,,,,
,13,1,רעה,>,Plus_Minus,,,,
,,2,ותעבה,ותועבה,Morphological,Orthographical,,,
,,3,שנא,שנא,Same,,,,
,,4,ייי,אלהים,Lexical,Synonym,,,
,,5,ולא,ולא,Same,,,,
,,6,יאננה,יא̊̊נ̊̊נ̊̊ה,Same,,,,
,,7,ליראיו,ל[יר]א̊̊יו,Unclassifiable,,,,
,14,1,אלהים,הוא,Lexical,,,,
,,2,מבראשית,מראש,Lexical,,,,
,,3,ברא,ברא,Same,,,,
,,4,אדם,אדם,Same,,,,
,,5,וישתיהו,וישיתהו,Morphological,Orthographical,,,
,,6,ביד,ב̊̊י̊̊ד̊̊,Same,,,,
,,7,חותפו,[חו]ת̊̊[פ]ו̊̊,Unclassifiable,,,,
,,8,ויתנהו,ו̊̊י̊̊ת̇נ̇ה̇ו̇,Same,,,,
,,9,ביד,ב̇י̇ד̊̊,Same,,,,
,,10,יצרו,יצ̇ר̇ו,Same,,,,
,15,1,אם,אם,Same,,,,
,,2,תחפץ,תח̇פץ,Same,,,,
,,3,תשמר,תשמר,Same,,,,
,,4,מצוה,מצוה,Same,,,,
,,5,ותבונה,ואמונה,Lexical,,,,
,,6,לעשות,לעשות,Same,,,,
,,7,רצונו,רצון,Morphological,Suffix Pron.,,,
,,8,,אל,Plus_Minus,,,,
,,9,אם,ואם,Morphological,Coordination,,,
,,10,תאמין,ת̇א̊̊מ̇י̇ן̇,Same,,,,
,,11,בו,בו,Same,,,,
,,12,גם,גם,Same,,,,
,,13,אתה,אתה,Same,,,,
,,14,תחיה,תחיה,Same,,,,
,16,1,מוצק,מ̇וצק,Same,,,,
,,2,לפניך,לפ̇ניך,Same,,,,
,,3,אש,מים,Inversion,,,,
,,4,ומים,ואש,Inversion,,,,
,,5,באשר,באשר,Same,,,,
,,6,תחפץ,תחפץ,Same,,,,
,,7,שלח,תשלח,Morphological,Grammatical,,,
,,8,ידיך,ידיך,Same,,,,
,17,1,לפני,לפני,Same,,,,
,,2,אדם,אדם,Same,,,,
,,3,חיים,חיים,Same,,,,
,,4,ומוות,ומות,Morphological,Orthographical,,,
,,5,אשר,וכל,Lexical,,,,
,,6,יחפץ,שיחפץ,Morphological,Grammatical,,,
,,7,ינתן,יתן,Morphological,Grammatical,,,
,,8,לו,לו,Same,,,,
,18,1,>,כי,Plus_Minus,,,,
,,2,>,לר̇[ו]ב̊̊,Unclassifiable,,,,
,,3,>,חכמת,Plus_Minus,,,,
,,4,>,ייי,Plus_Minus,,,,
,,5,>,אל,Plus_Minus,,,,
,,6,>,בגבורה,Plus_Minus,,,,
,,7,>,ומביט,Plus_Minus,,,,
,,8,>,לכל,Plus_Minus,,,,
,,9,ספקה,ספקה,Same,,,,
,,10,חכמת,חכמת,Same,,,,
,,11,ייי,ייי,Same,,,,
,,12,אמיץ,אמיץ,Same,,,,
,,13,גבורות,גבורות,Same,,,,
,,14,וחוזה,וחוזה,Same,,,,
,,15,כל{ם},כל,Same,,,,
,19,1,עיני,[עי]נ̊̊י̊̊,Unclassifiable,,,,
,,2,אל,א̊̊ל̇[הים,Unclassifiable,,,,
,,3,יראו,י]ר̊̊א̊̊ו,Unclassifiable,,,,
,,4,מעשיו,מעשיו,Same,,,,
,,5,והו,והוא,Morphological,Orthographical,,,
,,6,יכיר,יכיר,Same,,,,
,,7,על,>,Plus_Minus,,,,
,,8,כל,כל,Same,,,,
,,9,מפעל,מפעל,Same,,,,
,,10,איש,אנוש,Lexical,Synonym,,,
,20,1,לא,[לא,Unclassifiable,,,,
,,2,צוה,צוה,Unclassifiable,,,,
,,3,אנוש,אנוש],Unclassifiable,,,,
,,4,לחטא,ל̇ח̇טא,Same,,,,
,,5,>,ולא,Plus_Minus,,,,
,,6,>,למד,Plus_Minus,,,,
,,7,>,שקרים,Plus_Minus,,,,
,,8,>,לאנשי,Plus_Minus,,,,
,,9,>,כזב,Plus_Minus,,,,
,,10,ולא,[ולא,Unclassifiable,,,,
,,11,החלים,החלים,Unclassifiable,,,,
,,12,אנשי,אנשי],Unclassifiable,,,,
,,13,כזב,כזב,Same,,,,
,,14,ולא,ולא,Same,,,,
,,15,מרחם,מרחם,Same,,,,
,,16,על,על,Same,,,,
,,17,עושה,עושה,Same,,,,
,,18,שוא,שוא,Same,,,,
,,19,ועל,ועל,Same,,,,
,,29,מגלה,מגלה,Same,,,,
,,21,סוד,סוד,Same,,,,
16,1,1,אל,[אל,Unclassifiable,,,,
,,2,תתאוה,תתאוה,Same,,,,
,,3,תואר,תואר,Same,,,,
,,4,נערי,נע]ר̊̊י̊̊,Unclassifiable,,,,
,,5,שוא,שוא,Same,,,,
,,6,ואל,ואל,Same,,,,
,,7,תשמח,תשמח,Same,,,,
,,8,,על,Plus_Minus,,,,
,,9,בבני,בני,Morphological,Preposition,,,
,,10,עולה,עולה,Same,,,,
,2,1,וגם,,Plus_Minus,,,,
,,2,אם,,Plus_Minus,,,,
,,3,פרו,,Plus_Minus,,,,
,,4,אל,אל,Same,,,,
,,5,תבעבם,תשמח,Lexical,,,,
,,6,,בם,Plus_Minus,,,,
,,7,אם,כי,Lexical,,,,
,,8,אין,אין,Same,,,,
,,9,אתם,אתם,Same,,,,
,,10,יראת,יראת,Same,,,,
,,11,ייי,ייי,Same,,,,
,3,1,אל,[אל,Unclassifiable,,,,
,,2,תאמין,תאמין,Same,,,,
,,3,בחייהם,ב]ח̊̊י̇י̇ה̇ ם,Same,,,,
,,4,>,ואל,Plus_Minus,,,,
,,5,>,תבטח,Plus_Minus,,,,
,,6,>,בחיליהם,Plus_Minus,,,,
,,7,ואל,[ואל,Unclassifiable,,,,
,,8,תבטח,תבטח,Unclassifiable,,,,
,,9,בעקבותם,ב]ע̊̊ק̇בות ם,Unclassifiable,,,,
,,10,כי,כ̊̊י̊̊,Same,,,,
,,11,לא,לא,Same,,,,
,,12,ת̇היה,תהיה,Same,,,,
,,13,להם,להם,Same,,,,
,,14,אחרית,אחרית,Same,,,,
,,15,טובה,טובה,Same,,,,
,,16,כי,[כי,Unclassifiable,,,,
,,17,טוב,טוב],Unclassifiable,,,,
,,18,אחד,א̊̊חד,Same,,,,
,,19,עושה,עושה,Same,,,,
,,20,רצון,רצון,Same,,,,
,,21,,אל,Plus_Minus,,,,
,,22,מאלף,מאלף,Same,,,,
,,23,>,ומות,Plus_Minus,,,,
,,24,>,ערירי,Plus_Minus,,,,
,,25,>,מאחרית,Plus_Minus,,,,
,,26,>,זדון,Plus_Minus,,,,
,,27,,[טו]ב,Plus_Minus,,,,
,,28,ומות,מות,Morphological,Coordination,,,
,,29,ערירי,ערירי,Same,,,,
,,30,ממי,ממי,Same,,,,
,,31,שהיו,שיהיו,Morphological,Orthographical,,,
,,32,לו,לו,Same,,,,
,,33,בנים,בנים,Same,,,,
,,34,רבים,רבים,Same,,,,
,,35,,בני,Plus_Minus,,,,
,,36,ע̊ו̊לה,עולה,Same,,,,
,,37,ומאחרית,ומאחרית,Same,,,,
,,38,זדון,זדון,Same,,,,
,4,1,מאחד,מאחד,Same,,,,
,,2,ערירי,ערירי,,,,,
,,3,ירא,ירא,Same,,,,
,,4,ייי,ייי,Same,,,,
,,5,תשב,תשב̊̊,Same,,,,
,,6,עיר,ע̊̊יר,Same,,,,
,,7,וממשפחת,וממשפחות,Morphological,Grammatical,,,
,,8,בגדים,בוגדים,Morphological,Orthographical,,,
,,9,תחרב,תחר̊̊ב̊̊,Same,,,,
,,10,,מאחד,Plus_Minus,,,,
,,11,,מ̊̊[בי]ן̊̊,Unclassifiable,,,,
,,12,,תשב̊̊,Plus_Minus,,,,
,,13,,עי̇ר̇,Plus_Minus,,,,
,,14,,וממשפחת,Plus_Minus,,,,
,,15,,בוגדים,Plus_Minus,,,,
,,16,,תחרב,Plus_Minus,,,,
,5,1,רבות,ר̇ב̊̊ו̇ת̇,Same,,,,
,,2,כאלה,כ̇א̇ל̇ה̊̊,Same,,,,
,,3,ראתה,ר̊̊א̊̊ת̇ה̊̊,Same,,,,
,,4,עיני,ע̇י̊̊נ̇י̊̊,Same,,,,
,,5,ועצֻמוֹתֿ,ועצומות,Morphological,Orthographical,,,
,,6,כאלה,כאלה,Same,,,,
,,7,שמעה,שמעה,Same,,,,
,,8,אזני,אזני,,,,,
,6,1,בעדֿת,בעדת,Same,,,,
,,2,רשעים,רשע̇י̇ם̇,Same,,,,
,,3,יוקדת,רשפה,Lexical,Synonym,,,
,,4,אש,להבה,Lexical,Synonym,,,
,,5,ובגוי,ובגוי,Same,,,,
,,6,חנף,ח̇נף,Same,,,,
,,7,נצתה,נ̇צ̇ת̇ה̇,Same,,,,
,,8,חמה,ח̊̊מ̊̊ה̊̊,Same,,,,
,7,1,אשר,אשר,Same,,,,
,,2,לא,לא,Same,,,,
,,3,נשא,נשא,Same,,,,
,,4,לנסיכי,לנסיכי̇,Same,,,,
,,5,קדם,קד̇ם,Same,,,,
,,6,המורים,המורדים,Morphological,Orthographical,,,
,,7,עולם,>,Plus_Minus,,,,
,,8,בגבורתם,בג̇ב̇ו̇רתם,Same,,,,
