Chapter ,Verse,Word,MS_A,MS_Bmg,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names
,,6,>,,,,,,
,,7,>,,,,,,
,,8,>,,,,,,
,,9,ב̇עט̇ה,,,,,,
,,10,א[ז]ור,,,,,,
,,11,אל,,,,,,
,,12,תהת̇ל,,,,,,
,,13,ואל,,,,,,
,,14,תקלס,,,,,,
,,15,במרירי,,,,,,
,,16,יום,,,,,,
,,17,כי,,,,,,
,,18,פלאות,,,,,,
,,19,מעשי,,,,,,
,,20,ייי,,,,,,
,,21,ונעלם,,,,,,
,,22,מֵ[אָ]דָ̊ם̊,,,,,,
,,23,פעלו,,,,,,
,5,1,רבים,,,,,,
,,2,נדכאים,,,,,,
,,3,ישבו,,,,,,
,,4,על,,,,,,
,,5,כס̇א,,,,,,
,,6,ובל,,,,,,
,,7,על,,,,,,
,,8,לב,,,,,,
,,9,עטו,,,,,,
,,10,צניף,,,,,,
,,11,>,,,,,,
,,12,>,,,,,,
,,13,>,,,,,,
,,14,>,,,,,,
,,15,>,,,,,,
,,16,>,,,,,,
,6,1,>,,,,,,
,,2,>,,,,,,
,,3,>,,,,,,
,,4,>,,,,,,
,,5,>,,,,,,
,,6,נִקְל֣וּ,,,,,,
,,7,מְאֹ֑דֿ,,,,,,
,,8,וְהָשְׁפָלֽוּ,,,,,,
,,9,יַֹ֝חַדֿ•,,,,,,
,,10,וְגַֿם,וגם,Same,,,,
,,11,נִכְבַדִים,,,,,,
,,12,נִתָּֽנוּ,,,,,,
,,13,בְיָדֿ,,,,,,
,7,1,בְטֶ֥רֶם,,,,,,
,,2,תַ֖חְקר֯,,,,,,
,,3,אַל,,,,,,
,,4,תְסַלֵף,,,,,,
,,5,בַּקֵּרֽ,,,,,,
,,6,לְ֜פָנִֹים,,,,,,
,,7,וְאַחַ֥ר,,,,,,
,,8,תַזִֿיֹֽׁף,,,,,,
,8,1,>,,,,,,
,,2,>,,,,,,
,,3,>,,,,,,
,,4,>,,,,,,
,,5,>,,,,,,
,,6,>,,,,,,
,,7,>,,,,,,
,,8,>,,,,,,
,,9,>,,,,,,
,,10,>,,,,,,
,,11,>,,,,,,
,,12,>,,,,,,
,,13,בְּנִֹי,,,,,,
,,14,אַל,,,,,,
,,15,תָשִ֥יבֿ,,,,,,
,,16,דָ֭בָֿר,,,,,,
,,17,טֶ֣רֶם,,,,,,
,,18,תִשְמַ֑ע,,,,,,
,,19,וּבְתֽֿוֹךְ,,,,,,
,,20,שִׂיחָׁה,,,,,,
,,21,אַל,,,,,,
,,22,תְדַֿבֵּר,,,,,,
,9,1,באין,,Unclassifiable,,,,
,,2,עצבה,עצבה,Same,,,,
,,3,אל,,,,,,
,,4,תאחר,,,,,,
,,5,וברב,,Unclassifiable,,,,
,,6,זדים,,Unclassifiable,,,,
,,7,אל,,,,,,
,,8,תקומם,,,,,,
,10,1,>,,,,,,
,,2,>,,,,,,
,,3,>,,,,,,
,,4,>,,,,,,
,,5,>,,,,,,
,,6,>,,,,,,
,,7,>,,,,,,
,,8,>,,,,,,
,,9,בני,,,,,,
,,10,למה,,,,,,
,,11,תרבה,,,,,,
,,12,עשקך,עשקך,Same,,,,
,,13,ואץ,,,,,,
,,14,ו̶להרבות,,,,,,
,,15,לא,,,,,,
,,16,ינקה,,,,,,
,,17,בני,,,,,,
,,18,אם,,,,,,
,,19,לא,,,,,,
,,20,תרוץ,,,,,,
,,21,לא,,,,,,
,,22,תגיע,,,,,,
,,23,ואם,,,,,,
,,24,לא,,,,,,
,,25,תבקש,,,,,,
,,26,לא,,,,,,
,,27,תמצא,,,,,,
15,3,1,והאכילתהו,,,,,,
,,2,לחם,,,,,,
,,3,שכל,,,,,,
,,4,ומי,,,,,,
,,5,ת̶ב̶ו̶א̶ה̶,,,,,,
,,6,תשקנו,,,,,,
15,4,2,ונשען,,,,,,
,,3,עליה,,,,,,
,,4,ולא,,,,,,
,,5,ימוט,,,,,,
,,6,ובה,,,,,,
,,7,יבטח,,,,,,
,,8,ולא,,,,,,
,,9,יבוש׃,,,,,,
,5,1,ורוממתהו,,,,,,
,,3,מרעהו,מרעהו,Same,,,,
,,4,ובתוך,בתוך,Morphological,Coordination,,,
,,5,קהל,,,,,,
,,6,תפתח,,,,,,
,,7,פיו,,,,,,
,6,1,ששון,,,,,,
,,2,ושמחה,,,,,,
,,3,ימצא,ימצא,Same,,,,
,,4,ושם,,,,,,
,,5,עולם,,,,,,
,,6,תורישנו,,,,,,
15,7,1,לא,,,,,,
,,2,ידריכוה,,,,,,
,,3,מתי,,,,,,
,,4,שוא,,,,,,
,,5,ואנשי,,,,,,
,,6,זדון,,,,,,
,,7,לא,,,,,,
,,8,יראוה׃,,,,,,
15,8,1,רחוקה,,,,,,
,,2,היא,,,,,,
,,3,מלצים,,,,,,
,,4,ואנשי,,,,,,
,,5,כזב,,,,,,
,,6,לא,,,,,,
,,7,יזכרוה׃,,,,,,
,10,1,בפה,,,,,,
,,2,חכם,,,,,,
,,3,תאמֵר,,,,,,
,,4,תהלה,,,,,,
,,5,ומשל,,,,,,
,,6,בה,,,,,,
,,7,ילמדנה,,,,,,
,11,1,אל,,,,,,
,,2,תאמר,,,,,,
,,3,מאל,,,,,,
,,4,פשעי,,,,,,
,,5,>,,,,,,
,,6,>,,,,,,
,,7,>,,,,,,
,,8,>,,,,,,
,,9,>,,,,,,
,,10,>,,,,,,
,,11,>,,,,,,
,,12,>,,,,,,
,,13,>,,,,,,
,,14,>,,,,,,
,,15,>,,,,,,
,,16,>,,,,,,
,,17,כי,,,,,,
,,18,את,,,,,,
,,19,אשר,,,,,,
,,20,שנא,,,,,,
,,21,לא,,,,,,
,,22,עשה,,,,,,
,12,1,פן,,,,,,
,,2,תאמר,,,,,,
,,3,הוא,,,,,,
,,4,התקילני,,,,,,
,,5,כי,,,,,,
,,6,אין,,,,,,
,,7,,,,,,,
,,8,צורך,צ,Unclassifiable,,,,
,,9,באנשי,,,,,,
,,10,חמס,,,,,,
,13,1,רעה,רעה,Same,,,,
,,2,ותעבה,,,,,,
,,3,שנא,,,,,,
,,4,ייי,,,,,,
,,5,ולא,,,,,,
,,6,יאננה,,,,,,
,,7,ליראיו,,,,,,
,14,1,אלהים,אלהים,Same,,,,
,,2,מבראשית,מבראשית,Same,,,,
,,3,ברא,,,,,,
,,4,אדם,,,,,,
,,5,וישתיהו,,,,,,
,,6,ביד,,,,,,
,,7,חותפו,,,,,,
,,8,ויתנהו,,,,,,
,,9,ביד,,,,,,
,,10,יצרו,,,,,,
,15,1,אם,,,,,,
,,2,תחפץ,,,,,,
,,3,תשמר,,,,,,
,,4,מצוה,,,,,,
,,5,ותבונה,ותבונה,Same,,,,
,,6,לעשות,לע,Same,,,,
,,7,רצונו,רצונו,Same,,,,
,,8,,,,,,,
,,9,אם,,,,,,
,,10,תאמין,,,,,,
,,11,בו,,,,,,
,,12,גם,,,,,,
,,13,אתה,,,,,,
,,14,תחיה,,,,,,
,16,1,מוצק,,,,,,
,,2,לפניך,,,,,,
,,3,אש,,,,,,
,,4,ומים,,,,,,
,,5,באשר,,,,,,
,,6,תחפץ,,,,,,
,,7,שלח,,,,,,
,,8,ידיך,,,,,,
,17,1,לפני,,,,,,
,,2,אדם,,,,,,
,,3,חיים,,,,,,
,,4,ומוות,,,,,,
,,5,אשר,,,,,,
,,6,יחפץ,,,,,,
,,7,ינתן,ינתן,,,,,
,,8,לו,,,,,,
,18,1,>,,,,,,
,,2,>,,,,,,
,,3,>,,,,,,
,,4,>,,,,,,
,,5,>,,,,,,
,,6,>,,,,,,
,,7,>,,,,,,
,,8,>,,,,,,
,,9,ספקה,,,,,,
,,10,חכמת,,,,,,
,,11,ייי,,,,,,
,,12,אמיץ,,,,,,
,,13,גבורות,,,,,,
,,14,וחוזה,,,,,,
,,15,כל{ם},,,,,,
,19,1,עיני,,,,,,
,,2,אל,,,,,,
,,3,יראו,,,,,,
,,4,מעשיו,,,,,,
,,5,והו,,,,,,
,,6,יכיר,,,,,,
,,7,על,,,,,,
,,8,כל,,,,,,
,,9,מפעל,,,,,,
,,10,איש,,,,,,
,20,1,לא,,,,,,
,,2,צוה,,,,,,
,,3,אנוש,,,,,,
,,4,לחטא,,,,,,
,,5,>,,,,,,
,,6,>,,,,,,
,,7,>,,,,,,
,,8,>,,,,,,
,,9,>,,,,,,
,,10,ולא,,,,,,
,,11,החלים,,,,,,
,,12,אנשי,,,,,,
,,13,כזב,,,,,,
,,14,ולא,,,,,,
,,15,מרחם,,,,,,
,,16,על,,,,,,
,,17,עושה,,,,,,
,,18,שוא,,,,,,
,,19,ועל,,,,,,
,,29,מגלה,,,,,,
,,21,סוד,,,,,,
16,1,1,אל,,,,,,
,,2,תתאוה,,,,,,
,,3,תואר,,,,,,
,,4,נערי,,,,,,
,,5,שוא,,,,,,
,,6,ואל,,,,,,
,,7,תשמח,,,,,,
,,8,,,,,,,
,,9,בבני,,,,,,
,,10,עולה,,,,,,
,2,1,וגם,,,,,,
,,2,אם,,,,,,
,,3,פרו,,,,,,
,,4,אל,,,,,,
,,5,תבעבם,,,,,,
,,6,,,,,,,
,,7,אם,,,,,,
,,8,אין,,,,,,
,,9,אתם,,,,,,
,,10,יראת,,,,,,
,,11,ייי,,,,,,
,3,1,אל,,,,,,
,,2,תאמין,,,,,,
,,3,בחייהם,,,,,,
,,4,>,,,,,,
,,5,>,,,,,,
,,6,>,,,,,,
,,7,ואל,,,,,,
,,8,תבטח,,,,,,
,,9,בעקבותם,,,,,,
,,10,כי,,,,,,
,,11,לא,,,,,,
,,12,ת̇היה,,,,,,
,,13,להם,,,,,,
,,14,אחרית,,,,,,
,,15,טובה,,,,,,
,,16,כי,,,,,,
,,17,טוב,,,,,,
,,18,אחד,,,,,,
,,19,עושה,,,,,,
,,20,רצון,,,,,,
,,21,,,,,,,
,,22,מאלף,,,,,,
,,23,>,,,,,,
,,24,>,,,,,,
,,25,>,,,,,,
,,26,>,,,,,,
,,27,,,,,,,
,,28,ומות,,,,,,
,,29,ערירי,,,,,,
,,30,ממי,,,,,,
,,31,שהיו,,,,,,
,,32,לו,,,,,,
,,33,בנים,,,,,,
,,34,רבים,,,,,,
,,35,,,,,,,
,,36,ע̊ו̊לה,,,,,,
,,37,ומאחרית,,,,,,
,,38,זדון,,,,,,
,4,1,מאחד,,,,,,
,,2,ערירי,,,,,,
,,3,ירא,,,,,,
,,4,ייי,,,,,,
,,5,תשב,,,,,,
,,6,עיר,,,,,,
,,7,וממשפחת,,,,,,
,,8,בגדים,,,,,,
,,9,תחרב,,,,,,
,,10,,,,,,,
,,11,,,,,,,
,,12,,,,,,,
,,13,,,,,,,
,,14,,,,,,,
,,15,,,,,,,
,,16,,,,,,,
,5,1,רבות,,,,,,
,,2,כאלה,,,,,,
,,3,ראתה,,,,,,
,,4,עיני,,,,,,
,,5,ועצֻמוֹתֿ,,,,,,
,,6,כאלה,,,,,,
,,7,שמעה,,,,,,
,,8,אזני,,,,,,
,6,1,בעדֿת,,,,,,
,,2,רשעים,,,,,,
,,3,יוקדת,יוקדת,Same,,,,
,,4,אש,אש,Same,,,,
,,5,ובגוי,,,,,,
,,6,חנף,,,,,,
,,7,נצתה,,,,,,
,,8,חמה,,,,,,
,7,1,אשר,,,,,,
,,2,לא,,,,,,
,,3,נשא,,,,,,
,,4,לנסיכי,,,,,,
,,5,קדם,,,,,,
,,6,המורים,,,,,,
,,7,עולם,,,,,,
,,8,בגבורתם,,Unclassifiable,,,,
