Chapter,Verse,Word,MS_B,MS_D,MS_D_mg,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
,,7,ב̇שללך,בשללך,,Same,,,,,
,7,1,כל,כל,,Same,,,,,
,,2,יועץ,יועץ,,Same,,,,,
,,3,יניף,אומר,,Lexical,,,,,
,,4,יד,חזה,,Lexical,,,,,
,,5,אך,אך,,Same,,,,,
,,6,יש,יש,,Same,,,,,
,,7,יועץ,יועץ,,Same,,,,,
,,8,דרך,דרך,,Same,,,,,
,,9,אל,עליו,,Lexical,Suffix Pron.,,,,
,,10,לץ,,,Plus_Minus,,,,,
,8,1,,,,,,,,,
,,2,מיו֟עץ,מ̇י̇ו̇עץ,,Same,,,,,
,,3,שמור,שמר,,Same,,,,,
,,4,נפשך,נפ{ש}שך,,Same,,,,,
,,5,ודע,ודע,,Same,,,,,
,,6,לפנים,לפנים,,Same,,,,,
,,7,מה,מה,,Same,,,,,
,,8,צורכו,צרכו,,Morphological,Orthographical,,,,
,,,צורכו,צרכו,,Morphological,Grammatical,,,,
,,9,כ̊̊[י ],כי,,Unclassifiable,,,,,
,,10,ג̊̊ם̊̊,גם,,Same,,,,,
,,11,ה̊̊ו̊̊א̇,הוא,,Same,,,,,
,,12,לנפ֟שו,נפשו,,Morphological,Preposition,,,,
,,13,יחש̇ב,יחשב,,Same,,,,,
,,14,למה,למה,,Same,,,,,
,,15,זה,זה,,Same,,,,,
,,16,אליו,אליו,,Same,,,,,
,,17,יפול,יפול,,Same,,,,,
,9,1, [ויאמר ],וי̇א̇מ̇ר,,Unclassifiable,,,,,
,,2,לך̇,לך,,Same,,,,,
,,3,מ̇ט֟̇ו̇ב̇,להביט,,Lexical,,,,,
,,4,רישך,דרכיך,,Lexical,Synonym,,,,
,,5,ו̇ק̊̊ם̊̊,וקם,,Same,,,,,
,,6,מ̊̊נ̊̊ג̊̊ד̊̊,מנגד,,Same,,,,,
,,7,להביט̇,להביט,,Same,,,,,
,,8,רישך,ראשך,,Lexical,,,,,
,11,1,עם,עם,,Same,,,,,
,,2,אשה,אשה,,Same,,,,,
,,3,ע֟ל,אל,,Lexical,,,,,
,,4,צרתה,צרתה,,Same,,,,,
,,5,ומד֟ר,ומלוכד,,Lexical,,,,,
,,6,אל,על,,Lexical,,,,,
,,7,מלחמתו,מלחמה,,Morphological,Suffix Pron.,,,,
,,8,עם,עם,,Same,,,,,
,,9,סוחר,סוחר,,Same,,,,,
,,10,אל,אל,,Same,,,,,
,,11,תתגר,תתגר,,Same,,,,,
,,12,וממק֟נהא,ומקונה,,Morphological,Orthographical,,,,
,,13,על,על,,Same,Suffix Pron.,,,,
,,14,ממכר,ממכרו,,Morphological,,,,,
,,15,עם,עם,,Same,,,,,
,,24,איש,איש,,Same,,,,,
,,25,רע,רע,,Same,,,,,
,,26,אל֟,על,,Same,,,,,
,,27,תגמל,גמילות,,Morphological,Grammatical,,,,
,,28,חסד,חסד,,Same,,,,,
,,29,ואכזרי,ואכזרי,,Same,,,,,
,,30,על,על,,Same,,,,,
,,31,טוב,טוב,,Same,,,,,
,,32,בשר,בשר,,Same,,,,,
,,33,פועל,פועל,,Same,,,,,
,,34,שוא,שכיר,,Lexical,,,,,
,,35,על,על,,Same,,,,,
,,36,מלאכתו,מ̊לאכת[ו],,Unclassifiable,,,,,
,,37,שומר,שכיר,,Lexical,,,,,
,,38,שוא,שנה,,Lexical,,,,,
,,39,על,על,,Same,,,,,
,,40,מוציא,מוצא,,Morphological,Orthographical,,,,
,,41,רע̇,זרע,,Lexical,,,,,
,12,1,אך,אך,,,,,,,
,,2,אם,אם,,Same,,,,,
,,3,יש֟,איש,,Lexical,,,,,
,,4,מפחד,מפחד,,Same,,,,,
,,5,תמיד,תמיד,,Same,,,,,
,,6,אשר֟,א̊ש̊ר̊,,Same,,,,,
,,7,תדע,תד̊ע,,Same,,,,,
,,8,שומר,שומר,,Same,,,,,
,,9,מצוה,מצוה,,Same,,,,,
,,10,אשר,אשר̇,,Same,,,,,
,,11,עם,ע̇ם̇,,Same,,,,,
,,12,לב֟בו,ב̇לב̇בו̇,,Lexical,Synonym,,,,
,,13,כלבבך,כלב̇ב̇ך̊,,Same,,,,,
,,14,אם,ואם,,Morphological,Coordination,,,,
,,15,תכשל,יכשל,,Morphological,Grammatical,,,,
,,16,יגיע֟,יעבד,,Lexical,,,,,
,,17,אליך,בך,,Lexical,,,,,
,13,1,וגם,וגם,,Same,,,,,
,,2,עצת,עצת̇,,Same,,,,,
,,3,לבב,לבבו̇,,Morphological,Suffix Pron.,,,,
,,4,הבין,כך,,Lexical,,,,,
,,5,מי,כי,,Lexical,,,,,
,,6,יאמין,אם,,Lexical,,,,,
,,7,לך,,,Plus_Minus,,,,,
,,8,אמן,אמון,,Morphological,Orthographical,,,,
,,9,ממנו,ממנו,,Same,,,,,
,14,1,לב,לב,,Same,,,,,
,,2,אנוש,אנוש,,Same,,,,,
,,3,יג֟יד,מגיד,,Morphological,Grammatical,,,,
,,4,שעיותיו,שעיותיו,,Same,,,,,
,,5,משבעה֟,משבעה,,Same,,,,,
,,6,צופים,צפים,,Morphological,Orthographical,,,,
,,7,על,על,,Same,,,,,
,,8,מצ֟פה,שן,,Lexical,Synonym,,,,
,15,1,ועם,ועִם,,Same,,,,,
,,2,כ֟ל,כל,,Same,,,,,
,,3,אלה,אלה,,Same,,,,,
,,4,ע֟תר,העתר,,Morphological,Determination,,,,
,,5,אל,אל,,Same,,,,,
,,6,אל,אֵל,,Same,,,,,
,,7,אשר,אשר,,Same,,,,,
,,8,יכין,יכין,,Same,,,,,
,,9,באמת,באמת,,Same,,,,,
,,10,צעדיך,צעדך,,Morphological,Orthographical,,,,
,,,צעדיך,צעדך,,Morphological,Singular/Plural,,,,
,16,1,ראש,ראש,,Same,,,,,
,,2,כל,כל,,Same,,,,,
,,3,מעשה,מעשה,,Same,,,,,
,,4,דבר,מאמר,,Lexical,Synonym,,,,
,,5,וראש,לפני,,Lexical,,,,,
,,6,כל,כל,,Same,,,,,
,,7,פועל,פעל,,Morphological,Orthographical,,,,
,,,פועל,פעל,,Morphological,Grammatical,,,,
,,8,היא,היא,,Same,,,,,
,,9,מחשבת,מחשבת,,Same,,,,,
,17/18,1,עק֟רת,עקר,,Morphological,Grammatical,,,,
,,2,ת̇ח̇בו̇ל̇ות,תחבולות,,Same,,,,,
,,3,לבב,לבב,,Same,,,,,
,,4,ארבעה,ארבעה,,Same,,,,,
,,5,שב̇ט֟ים,שרביטים,,Lexical,,,,,
,,6,יפר̇י̊̊ח̇ו̇,יפריח,,Morphological,Suffix Pron.,,,,
,,7,טוב,טוב,,Same,,,,,
,,8,ורע֟ה,ורע,,Morphological,Grammatical,,,,
,,9,וחיים,מות,,Inversion,,,,,
,,10,ומות,וחיים,,Inversion,,,,,
,,11,ומוש֟לת,ומשלח,,Lexical,,,,,
,,12,בם,בם,,Same,,,,,
,,13,כליל,כליל,,Same,,,,,
,,14,לשון,לשון,,Same,,,,,
,20,1,ויש,ויש,,Same,,,,,
,,2,חכם,חכם,,Same,,,,,
,,3,בדברו,בדברו,,Same,,,,,
,,4,נמאס,ימאס,,Morphological,Grammatical,,,,
,,5,ומכל,ומכל,,Same,,,,,
,,6,מאכל,מאכל,,Same,,,,,
,,7,תענוג,תענוג,,Same,,,,,
,,8,נבצר,נבצר,,Same,,,,,
,25,1,חיי,חיי,,Same,,,,,
,,2,איש,אנוש,,Lexical,Synonym,,,,
,,3,מספר,ימים,,Inversion,,,,,
,,4,ימים,מספר,,Inversion,,,,,
,,5,וחיי,וחיי,,Same,,,,,
,,6,ע̇ם֟,,,Plus_Minus,,,,,
,,7,ישראל,ישרון,,Lexical,Synonym,,,,
,,8,י̊̊מ̊̊י̊̊,ימי,,Same,,,,,
,,9,א̊̊י̊̊ן̊̊,אין,,Same,,,,,
,,10,מ̊̊ס̊̊פ̊̊ר̊̊,מספר̊,,Same,,,,,
,,11,,,גויתהן,,,,,,
,,12,,,מספר,,,,,,
,,13,,,יש̊,,,,,,
,,14,,,ימים,,,,,,
,,15,,,וגוית,,,,,,
,,16,,,שם,,,,,,
,,17,,,ימים,,,,,,
,,18,,,אין,,,,,,
,,19,,,מספר,,,,,,
,27,1,בני,בני,,Same,,,,,
,,2,בחי֟יך,בחמר,,Lexical,,,,,
,,3,נס,נס,,Same,,,,,
,,4,נפשך,נפשך,,Same,,,,,
,,5,וראה,וראה,,Same,,,,,
,,6,מה,מה,,Same,,,,,
,,7,רע,רע,,Same,,,,,
,,8,לה,לה,,Same,,,,,
,,9,אל,ואל,,Morphological,Coordination,,,,
,,10,תתן,תתן,,Same,,,,,
,,11,לה,לה,,Same,,,,,
,28,1,כי,כי,,Same,,,,,
,,2,לא,לא,,Same,,,,,
,,3,הכל,לכל,,Morphological,Preposition,,,,
,,,הכל,לכל,,Morphological,Determination,,,,
,,,,,,,,,,,
,,4,לכל,טוב,,Lexical,,,,,
,,5,טוב,תענוג,,Lexical,,,,,
,,6,לא,ולא,,Morphological,Coordination,,,,
,,7,כל,לכל,,Morphological,Preposition,,,,
,,8,נפש,נפש,,Same,,,,,
,,9,כל,כל,,Same,,,,,
,,10,זן,זן,,Same,,,,,
,,11,תבחר,תבחר,,Same,,,,,
,29,1,אל,אל,,Same,,,,,
,,2,תז֟רע,תזד,,Lexical,,,,,
,,3,לכ֟ל,אל,,Lexical,,,,,
,,4,תענוג,תענוג,,Same,,,,,
,,5,ואל,ואל,,Same,,,,,
,,6,תשפך,תתחנג,,Lexical,Synonym,,,,
,,7,על,על,,Same,,,,,
,,8,כל,,,Plus_Minus,,,,,
,,9,מטעמים,מטעמים,,Same,,,,,
,30,1,כי,כי,,Same,,,,,
,,2,ברוב,ברב,,Morphological,Orthographical,,,,
,,3,תענ֟וג,אוכל,,Lexical,,,,,
,,4,יקנ֟ן,יקנון,,Morphological,Orthographical,,,,
,,5,חולי,חולי,,Same,,,,,
,,6,והמר֟בה,והמזיע,,Lexical,,,,,
,,7,יגיע,יגוע,,Morphological,Grammatical,,,,
,,8,אל,אל,,Same,,,,,
,,9,זרא,זרא,,Same,,,,,
,31,1,בלא,בלא,,Same,,,,,
,,2,מוסר,מוסר,,Same,,,,,
,,3,רבים,רבים,,Same,,,,,
,,4,יגועו,גועו,,Morphological,Grammatical,,,,
,,5,ו֟עועו,,,Plus_Minus,,,,,
,,6,והנש֟מר,והנשמר,,Same,,,,,
,,7,יוסיף,יוסיף,,Same,,,,,
,,8,חיים,חיים,,Same,,,,,
38,1,1,רע֟י,רעה,,Lexical,,,,,
,,2,,רועה,,Plus_Minus,,,,,
,,3,רופא,רופא,,Same,,,,,
,,4,לפני,לפי,,Lexical,,,,,
