Chapter,Verse,Word,MS_B,MS_E,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
,,9,בדרך,ב̊דרך,Same,,,,,
,,10,רשעים,רשעים,Same,,,,,
,,11,ובארחתיך,ובאחריתך,Lexical,Metathesis,,,,
,,12,,היה,Plus_Minus,,,,,
,,13,הזהר,זהיר,Morphological,Grammatical,,,,
,23,1,בכל,>,,,,,,
,,2,דרכיך,>,,,,,,
,,3,שמור,>,,,,,,
,,4,נפשך,>,,,,,,
,,5,כי,>,,,,,,
,,6,כל,>,,,,,,
,,7,עושה,>,,,,,,
,,8,אלה,>,,,,,,
,,9,שומר,>,,,,,,
,,10,מ֟צ֟וה,>,,,,,,
,,11,בכל,>,,,,,,
,,12,מעשיך,>,,,,,,
,,13,שמור,>,,,,,,
,,14,נפשך,>,,,,,,
,,15,כי,>,,,,,,
,,16,עושה,>,,,,,,
,,17,זה,>,,,,,,
,,18,שומר,>,,,,,,
,,19,מצוה,>,,,,,,
,24,1,נוצר,[נוצר,Unclassifiable,,,,,
,,2,תורה,תור]ה,Unclassifiable,,,,,
,,3,שומר,נוצר,Lexical,Synonym,,,,
,,4,נפשו,נפשו,Same,,,,,
,,5,ובוטח,ובוטח,Same,,,,,
,,6,בייי,בייָי,Same,,,,,
,,7,לא,לא,Same,,,,,
,,8,יבוש,יבוש,Same,,,,,
33,1,1,ירא,[ירא,Unclassifiable,,,,,
,,2,ייי,ייָי,Unclassifiable,,,,,
,,3,לא,לא ],Unclassifiable,,,,,
,,4,יפגע,י̊פגע,Same,,,,,
,,5,רע,רע,Same,,,,,
,,6,כי,כי,Same,,,,,
,,7,אם,אם,Same,,,,,
,,8,בניסוי,בנסוי,Morphological,,,,,
,,9,ש֟̇ב̊̊,ישוב,Morphological,Grammatical,,,,
,,10,ו̊̊נ̊̊מ̊̊ל̇ט̊̊,ונמלט,Same,,,,,
,2,1,לא,,Plus_Minus,Subcategories,,,,
,,2,יחכם,,Plus_Minus,,,,,
,,3,שונא,שונא,Same,,,,,
,,4,תורה,תורה,Same,,,,,
,,5,ומתמוטט,ומתמוטט,Same,,,,,
,,6,כמ֟ס̇ע̊̊ר̊̊ה̊̊,כמסערה,Same,,,,,
,,7,א̊̊נ̊̊י̊̊,אזנו,Lexical,Synonym,,,,
,3,1,איש,>,,,,,,
,,2,נבון,>,,,,,,
,,3,יבין,>,,,,,,
,,4,דבר,>,,,,,,
,,5,ותורתו,>,,,,,,
,,6,כא̇◌◌◌י̊̊ן̊̊,>,,,,,,
,,7,◌◌◌◌◌◌,>,,,,,,
