Chapter,Verse,Word,MS_M,MS_B,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
,,17,ואבוד,ואבד,Morphological,Orthographical,,,,
,,18,תקוה,תקוה,Same,,,,,
,3,1,אל,אל,Same,,,,,
,,2,תפחד,תפחד,Same,,,,,
,,3,ממות,ממות,Same,,,,,
,,4,ח֯קך,חוקיך,Morphological,Orthographical,,,,
,,5,זכר,זכ̊̊ו̇ר,Morphological,Orthographical,,,,
,,,זכר,זכ̊̊ו̇ר,Morphological,Grammatical,,,,
,,6,,כי,Plus_Minus,,,,,
,,7,קדמון,ראשנים,Lexical,Synonym,,,,
,,8,ואחרון,ואחרנים,Lexical,Synonym,,,,
,,9,עמך,עמך,Same,,,,,
,4,1,זה,זה,Same,,,,,
,,2,קץ,חלק,Lexical,,,,,
,,3,כל,כל,Same,,,,,
,,4,[בני,בשר,Unclassifiable,,,,,
,,5,אד]ם̊,מאל,Unclassifiable,,,,,
,,6,[ומה,ומה,Unclassifiable,,,,,
,,7,תמאס,תמאס,Same,,,,,
,,8,ב]ת̊ו̊[רת],בתורת,Unclassifiable,,,,,
,,9,עליו[ן],עליו̊̊[ן],Same,,,,,
,,10,לעשר,לאלף,Lexical,,,,,
,,11,מאה,שנים,Lexical,,,,,
,,12,וא֗ל֯ף,מאה,Lexical,,,,,
,,13,שנים,ועשר,Lexical,,,,,
,,14,[,אי֟ש,Unclassifiable,,,,,
,,15,,תוכחות,Unclassifiable,,,,,
,,16,,בשא̊̊[ו]ל̇,Unclassifiable,,,,,
,,17,],חיים,Unclassifiable,,,,,
,5,1,,,,,,,,
,,2,נין,נין֟,Same,,,,,
,,3,נמאס,נמאס,Same,,,,,
,,4,ת[ל]דות,דבר֟,Lexical,,,,,
,,5,רעים,ערים,Lexical,,,,,
,,6,],רעים,Unclassifiable,,,,,
,,7,,ונכד,Unclassifiable,,,,,
,,8,,אויל,Unclassifiable,,,,,
,,9,,ב̊̊מ̇ג̇ו̇[ר,Unclassifiable,,,,,
,,10,ר]ש̊ע,רש]ע,Unclassifiable,,,,,
,6,1,[מבן,מבן֟,Unclassifiable,,,,,
,,2,עו]ל֯,עול,Unclassifiable,,,,,
,,3,ת̊א̊ב̊ד̊,,Plus_Minus,,,,,
,,4,ממ[שלת,ממשלת,Unclassifiable,,,,,
,,5,,רע,Unclassifiable,,,,,
,,6,עם,ע̊̊ם̊̊̊̊,Same,,,,,
,,7,זרעו],זרע̇[ו,Unclassifiable,,,,,
,,8,ת̇מ̇י̊[ד ],ת]מ̊̊י̊̊ד̊̊,Unclassifiable,,,,,
,,9,חרפה,[ חרפ]ה̇,Unclassifiable,,,,,
,7,1,א[ב,אב,Unclassifiable,,,,,
,,2,רשע],רשע,Unclassifiable,,,,,
,,3,י֗ק֗ב,יקוב̇,Morphological,Orthographical,,,,
,,,י֗ק֗ב,יקוב̇,Morphological,Grammatical,,,,
,,4,יל[ ד ],י̊̊לד,Unclassifiable,,,,,
,,5,[כי,כ̇י̊̊,Unclassifiable,,,,,
,,6,ב]ג̊ללו,ב̊̊ג̊̊ללו̊̊,Unclassifiable,,,,,
,,7,היו,,Unclassifiable,,,,,
,,8,בוז,[ ]ן̊̊,Unclassifiable,,,,,
,8,1,ה֯[וי,א̊̊ו̊̊י̊̊,Unclassifiable,,,,,
,,2,א̊נ̊ש̊י̊,לכ̊̊ם̊̊,Lexical,,,,,
,,3,]◦◦,]◦,Unclassifiable,,,,,
,,4,[,◦ [,,,,,,
,,5,ע̇זבי,,Unclassifiable,,,,,
,,6,תורת,],Unclassifiable,,,,,
,,7,עליון,ע]ל̊̊יון,Unclassifiable,,,,,
,9,1,],אם,Unclassifiable,,,,,
,,2,]ל̇,ת̇פ̊̊ר̊̊ח̊̊ו̇,Unclassifiable,,,,,
,,3,]◦,[ע]ל̇,Unclassifiable,,,,,
,,4,,ידי,Unclassifiable,,,,,
,,5,[,אסון,Unclassifiable,,,,,
,,6,ואם,א̊̊ם̊̊,Morphological,Coordination,,,,
,,7,תולידו,ת̊̊ולידו,Same,,,,,
,,8,>,>,,,,,,
,,9,>,>,,,,,,
,,10,>,>,,,,,,
,,11,>,>,,,,,,
,,12,>,>,,,,,,
,,13,>,>,,,,,,
,,14,>,>,,,,,,
,,15,>,>,,,,,,
,,16,לאנחה,לאנחה,Same,,,,,
,,17,[אם,א̇ם,Unclassifiable,,,,,
,,18,תכש]ל̇ו,תכשלו,Unclassifiable,,,,,
,,19,[ל]ש̊מחת,לשמחת,Unclassifiable,,,,,
,,20,ע̇ם,עולם,Lexical,,,,,
,,21,ואם,אם,Morphological,Coordination,,,,
,,22,תמותו,תמותו,Same,,,,,
,,23,לקללה,לק̊̊ללה,Same,,,,,
,10,1,[כל,כל,Unclassifiable,,,,,
,,2,מ]אפס,מא֟פס,Unclassifiable,,,,,
,,3,אל,אל,Same,,,,,
,,4,אפס,אפ֟ס,Same,,,,,
,,5,ישוב,ישוב,Same,,,,,
,,6,כן,כ֟ן,Same,,,,,
,,7,חנף,חנף,Same,,,,,
,,8,מתהו,מתהו,Same,,,,,
,,9,אל,אל,Same,,,,,
,,10,תהו,תהו,Same,,,,,
,11,1,ה̇ב̊[ל,הבל,Unclassifiable,,,,,
,,2,אד]ם̊,אדם,Unclassifiable,,,,,
,,3,◦◦,בגויתו,Unclassifiable,,,,,
,,4,[אך],אך,Unclassifiable,,,,,
,,5,]שם,שם,Unclassifiable,,,,,
,,6,ח̇ס̊ד̊,חסד,Same,,,,,
,,7,ללא,לא,Morphological,Preposition,,,,
,,8,יכ̊ר̇ת,יכרת,Same,,,,,
,12,1,פ̊חד,פחד,Same,,,,,
,,2,ע̇ל,על,Same,,,,,
,,3,שם,שם,Same,,,,,
,,4,כי,כי,Same,,,,,
,,5,הוא,הוא,Same,,,,,
,,6,ילוך,ילוך,Same,,,,,
,,7,מ̇א̊לפי,מאלפי,Same,,,,,
,,8,ש̊י̊מ̊ת̊,אוצ֟רות,Lexical,,,,,
,,9,ח̊מ̊ד̇ה̊,חכ֟מה,Lexical,,,,,
,13,1,[ט]ו̊בת,טו֟בת,Unclassifiable,,,,,
,,2,חי,חי,Same,,,,,
,,3,מספר,ימי,Inversion,,,,,
,,4,ימים,מספר,Inversion,,,,,
,,5,וטוב̇ת̊,וטו֟בת,Same,,,,,
,,6,ש̊ם̊,שם,Same,,,,,
,,7,י̊מ̊י̊,ימי,Same,,,,,
,,8,אין,אין,Same,,,,,
,,9,מ̇ספר,מספר,Same,,,,,
,14bc,1,[ח]כמה,חכמה,Unclassifiable,,,,,
,,2,טמונה,טמונה,Same,,,,,
,,3,ושימה,ואוצר,Lexical,Synonym,,,,
,,4,מסתרת,מוסתר,Morphological,Grammatical,,,,
,,5,מה,מה,Same,,,,,
,,6,תעלה,תועלה,Morphological,Orthographical,,,,
,,7,בשתיהם,בשתיהם,Same,,,,,
,15,1,טוב ,טוב ,Same,,,,,
,,3,איש,איש,Same,,,,,
,,4,מטמן,מצפין,Lexical,Synonym,,,,
,,5,אולתו,אולתו,Same,,,,,
,,6,מאיש,מאיש,Same,,,,,
,,7,מצפן,מצפין,Morphological,Orthographical,,,,
,,8,חכמתו,חכמתו,Same,,,,,
,14a/16a,1,מוסר,מוסר,Same,,,,,
,,2,בשת,בשת,Same,,,,,
,,3,שמעו,שמעו,Same,,,,,
,,4,בנים,בנים,Same,,,,,
,,5,[וה]כ̊למ̊ו̇,והכלמו,Unclassifiable,,,,,
,,6,על,על,Same,,,,,
,,7,משפטי,משפט֟י,Same,,,,,
,16bc,1,לא,לא,Same,,,,,
,,2, כל, כל,Same,,,,,
,,3,בשת,בשת,Same,,,,,
,,4,נאוה,נאה,Morphological,Orthographical,,,,
,,5,לבוש,לשמר,Lexical,,,,,
,,6,ולא,ולא,Same,,,,,
,,7,כל,כל,Same,,,,,
,,8,הכלם,הכלם,Same,,,,,
,,9,נבחר,נבחר,Same,,,,,
,17,1,בוש,בוש,Same,,,,,
,,2,מאב,מאב,Same,,,,,
,,3,ואם,ואם,Same,,,,,
,,4,על,אל,Lexical,,,,,
,,5,פחז,זנות,Lexical,,,,,
,,6,מנשיא,מנשיא,Same,,,,,
,,7,ושר,יושב֟,Lexical,,,,,
,,8,על,אל,Lexical,,,,,
,,9,כ̇ח̊ש̇,כחש,Same,,,,,
,18,1,מאדון,מאדון,Same,,,,,
,,2,וגבר̇[ת],וגברת,Same,,,,,
,,3,על,על,Same,,,,,
,,4,קשר,שקר,Lexical,Metathesis,,,,
,,5,מעדם,מעדה,Morphological,Suffix Pron.,,,,
,,6,ועם,ועם,Same,,,,,
,,7,[ע]ל,על,Unclassifiable,,,,,
,,8,[פ]ש̇ע,פשע,Unclassifiable,,,,,
,18c/19a,1,משותף,מ̊̊ח̊̊ב֟֟̇ר̇,Lexical,,,,,
,,2,ורע,ורע,Same,,,,,
,,3,על,על,Same,,,,,
,,4,מעל,מעל,Same,,,,,
,,5,ממקום,וממקום,Morphological,Coordination,,,,
,,6,תגור,תגור֟,Same,,,,,
,,7,ע̇ל̇,על,Same,,,,,
,,8,יד,ז֟ר,Lexical,,,,,
,19bc,1,מהפר,מ̊̊[ה]פ̊̊ר̊̊,Unclassifiable,,,,,
,,2,אלה,א̊̊לה,Same,,,,,
,,3,וברית,וברית,Same,,,,,
,,4,וממטה,ממטה,Morphological,Coordination,,,,
,,5,אציל,אציל,Same,,,,,
,,6,על,אל,Lexical,,,,,
,,7,לחם,לחם,Same,,,,,
,19d/21a,1,ממנ̊[ע ],מ̊̊מ̊̊[נ]ע̊̊,Unclassifiable,,,,,
,,2,מתת,מ̊̊ת̊̊ת̊̊,Same,,,,,
,,3,שאלה,שאלה,Same,,,,,
,,5,ומהשיב,מהשב֟,Morphological,Coordination,Orthographical,,,
,,6,את,,Plus_Minus,,,,,
,,7,פני,אפי,Lexical,,,,,
,,8,שארך,רעך,Lexical,,,,,
,21b/20a,1,מחש{א}ות,מהש◦[],Unclassifiable,,,,,
,,2,מחלקת,מ̊̊ח̊̊לקו̇ת,Morphological,Orthographical,,,,
,,3,מנה,מנה,Same,,,,,
,,4,ומשאל,מ̊̊ש֟̊̊א̊̊ו̇ל,Morphological,Coordination,,,,
,,5,שלום,שלום,Same,,,,,
,,6,החריש,מהח̇ריש,Morphological,Preposition,,,,
,21c/20b or 22ab,1,מהביט,מהביט,Same,,,,,
,,2,א[],א[],Unclassifiable,,,,,
,,3,,◦◦◦◦֟◦,Unclassifiable,,,,,
,,4, ומהתקומם,ומהת̊̊ק̇מ̊̊ם̊̊,Morphological,Orthographical,,,,
,,5,אל,ע̊̊ל̇,Lexical,,,,,
,,6,ז]רה,ש̊̊פ̊̊ח֟̊̊ת̊̊ך̊̊,Unclassifiable,,,,,
,22cd,1,מאהב,מאוהב,Same,,,,,
,,2,על,על,Same,,,,,
,,3,דברי,ד̊̊ב̊̊רי,Same,,,,,
,,4,חסד,חרפה,Lexical,,,,,
,,5,ומאחר,ומאחרי,Morphological,,,,,
,,6,מתת,מת̇ת̇,Same,,,,,
,,7,,א̇ל̇,Plus_Minus,,,,,
,,8,חרף,ת̇נ̇אץ,Lexical,Synonym,,,,
42,1,1,משנות,משנות,Same,,,,,
,,2,דב̊ר,דבר,Same,,,,,
,,3,תשמע,תשמע,Same,,,,,
,,4,ומחשף,ומחסוף,Lexical,Phonetic_affinity,,,,
,,5,כל,כל,Same,,,,,
,,6,דבר,ס֟וד,Lexical,,,,,
,,7,עצה,עצה,Same,,,,,
,,8,ו̊ה̊[י]ית,והיית,Unclassifiable,,,,,
,,9,בויש,בוש,Morphological,Orthographical,,,,
,,10,באמת,באמת,Same,,,,,
,,11,ומצא,ומצא,Same,,,,,
,,12,חן,חן,Same,,,,,
,,13,בעיני,בעיני,Same,,,,,
,,14,כל,כל,Same,,,,,
,,15,חי,חי,Same,,,,,
,,16,[אך],אך,Unclassifiable,,,,,
,,17,על,ע֟ל,Same,,,,,
,,18,אלה,אלה,Same,,,,,
,,19,אל,אל,Same,,,,,
,,20,תבוש,תבוש,Same,,,,,
,,21,ואל,ואל,Same,,,,,
,,22,תשא,תשא,Same,,,,,
,,23,פנים,פנים,Same,,,,,
,,24,וחטא,וחטא,Same,,,,,
,2,1,על,ע̊̊ל̊̊,Same,,,,,
,,2,תורת,ת̊̊ו̊̊ר̊̊ת,Same,,,,,
,,3,עליון,עליון,Same,,,,,
,,4,וחק,וחוק,Morphological,Orthographical,,,,
,,5,ועל,ועל,Same,,,,,
,,6,משפט,מצ֟דיק,Lexical,Synonym,,,,
,,7,להצדיק,להצדיק,Same,,,,,
,,8,רשע,רשע,Same,,,,,
,3,1,על,על,Same,,,,,
,,2,חשבון,חשבון,Same,,,,,
,,3,,ב̶,,,,,,
,,4,שותף,חו֟בר,Lexical,,,,,
,,5,,ואדון,Plus_Minus,,,,,
,,6,ודרך,וא֔רח,Lexical,,,,,
,,7,ועל,ועל,Same,,,,,
,,8,מחלקת,מחלקות,Morphological,Orthographical,,,,
,,9,נחלה,נחלה,Same,,,,,
,,10,ויש,ויש֟,Same,,,,,
,4ab,1,על,ועל,Morphological,Coordination,,,,
,,2,שחקי,שחק,Morphological,Orthographical,,,,
,,3,מזנים,מאז̇̇נים,Morphological,Orthographical,,,,
,,4,ופלס,ופלס,Same,,,,,
,,5,וע̊ל,ועל,Same,,,,,
,,6,תמחי,תמהות֟,Lexical,,,,,
,,7,איפה,איפה,Same,,,,,
,,8,ואבן,ואבן,Same,,,,,
,4c/5a,1,על,על,Same,,,,,
,,2,מקנה,מק֟נה,Same,,,,,
,,3,בין,בין,Same,,,,,
,,4,ר̇ב̊,רב,Same,,,,,
,,5,למע̊[ט],למעט,Unclassifiable,,,,,
,,6,[ועל ],ועל,Unclassifiable,,,,,
,,7,מ̊מחיר,ממ֟ח̇יר̇,Same,,,,,
,,8,ממכר,מ̊̊מכר,Same,,,,,
,,9,תגר,תגר,Same,,,,,
,,10,[]ר֯ה,>,Unclassifiable,,,,,
,,11,ועבד,>,Plus_Minus,,,,,
,,12,רע,>,Plus_Minus,,,,,
,,13,וצלע,>,Plus_Minus,,,,,
,,14,מהלמת,>,Plus_Minus,,,,,
,6,1,[על,על,Unclassifiable,,,,,
,,2,אשה,אשה,Same,,,,,
,,3,תפ]ש̇ת,רע֟ה,Unclassifiable,,,,,
,,4,חותם,חותם,Same,,,,,
,,5,,חכם,Plus_Minus,,,,,
,,6,ומקום,ומקום,Same,,,,,
,,7,ידים,ידים,Same,,,,,
,,8,רבות,רפות,Lexical,,,,,
,,9,מפתח,תפתח,Same,,,,,
,7,1,על,על,Same,,,,,
,,2,מ̇[קום],מקום,Unclassifiable,,,,,
,,3,תפקיד,תפק֟ד֟,Morphological,Orthographical,,,,
,,4,,יד֟,Plus_Minus,,,,,
,,5,מספר,תספור,Morphological,Grammatical,,,,
,,6,ש[ואה ],ומתת,Unclassifiable,,,,,
,,7,ו̊תת,ו֟לקח,Lexical,Anthonym,,,,
,,8,הכל,הכל,Same,,,,,
,,9,בכתב,בכתב,Same,,,,,
,8,1,על,על,Same,,,,,
,,2,מו̊[סר,מ̇ו̊̊ס֟ר,Unclassifiable,,,,,
,,3,פ]ותה,פותה,Unclassifiable,,,,,
,,4,וכסיל,וכסיל,Same,,,,,
,,5,[וש]ב,ושב,Unclassifiable,,,,,
,,6,כ̇ושל,ו֟ישיש,Lexical,,,,,
,,7,,ונוטל,Plus_Minus,,,,,
,,8,ענה,(ושואַל),Lexical,Anthonym,,,,
,,9,,ע֟צה֟,Plus_Minus,,,,,
,,10,בזנות,בזנות,Same,,,,,
,,11,והיית,והיית,Same,,,,,
,,12,זהיר,זהיר,Same,,,,,
,,13,באמת,באמת,Same,,,,,
,,14,[ואיש,ואי̊̊ש,Unclassifiable,,,,,
,,15,צנו]ע̊,צנוע,Unclassifiable,,,,,
,,16,לפ̇נ̇י̇,לפני,Same,,,,,
,,17,כל,כל,Same,,,,,
,,18,ח̇י̊,חי,Same,,,,,
,9,1,בש̇{א}ת,בת,Unclassifiable,,,,,
,,2,לאב,לאב,Same,,,,,
,,3,מטמון,מטמנת,Morphological,Grammatical,,,,
,,4,שק̇[ר],שקר,Unclassifiable,,,,,
,,5,[דאגתה,דא֟גה,Unclassifiable,,,,,
,,6,תפ]ר֯יד,תפר̇יש̇,Lexical,,,,,
,,7,נומה,נ̊̊[ו]ם̊̊,Unclassifiable,,,,,
,,8,בנעוריה,בנעוריה,Same,,,,,
,,9,פן,פן,Same,,,,,
,,10,תמאס,תגורי̶,Lexical,,,,,
,,11,וב̇על̇יה,ובבתוליה,Lexical,,,,,
,,12,פן,פן,Same,,,,,
,,13,ת̊[פת]ה̊,ת̊̊פ̊̊ת̊̊[ה],Unclassifiable,,,,,
,10,1,בבתוליה,בבתוליה,Same,,,,,
,,2,פן,פן,Same,,,,,
,,3,תחל,תפ֟ותה,Lexical,,,,,
,,4,ועל,ובבי̇ת̇,Lexical,,,,,
,,5,אישה̇,ב̊̊ע̊̊לה̊̊,Lexical,Synonym,,,,
,,6,[ פן],לא̊̊,Unclassifiable,,,,,
,,7,תשטה̊,ת̊̊נ̊̊ש̊̊ה̇,Lexical,,,,,
,,8,בית,בבית,Morphological,Preposition,,,,
,,9,אביה,אביה,Same,,,,,
,,10,פן,פן֟,Same,,,,,
,,11,תזריע,ת̊̊ז̊̊נ̊̊ה,Lexical,,,,,
,,12,ובעל̇ה̊,ובבית,Lexical,,,,,
,,13,,אי̊̊ש̊̊ה̊̊,Plus_Minus,,,,,
,,14,[ פן,פ̊̊ן̊̊[,Unclassifiable,,,,,
,,15,תע]צ֯ר,תע]צ̊̊ר,Unclassifiable,,,,,
,11,1,[בני],ב̊̊נ̊̊י̊̊,Unclassifiable,,,,,
,,2,ע̊ל̊,ע̊̊ל,Same,,,,,
,,3,בת,[ ]◦,Unclassifiable,,,,,
,,4,,ל[ ]ך̊̊,Unclassifiable,,,,,
,,5,חזק̊,ח̊̊ז̇ק̇,Same,,,,,
,,6,משמר,מ̊̊ו̊̊ס̊̊ר,Lexical,,,,,
,,7,[פ]ן,פ̊̊[ן תעשה,Unclassifiable,,,,,
,,8,ת̇ע̊[שה,ל]ך̊̊,Unclassifiable,,,,,
,,9,,שם,Unclassifiable,,,,,
,,10,[,סר֟ה,Unclassifiable,,,,,
,11cd,11,דבת,דבת,Same,,,,,
,,12,עיר,עיר,Same,,,,,
,,13,וקהלת,וקה̊̊לת,Same,,,,,
,,14,עם,עם,Same,,,,,
,,15,],והושבת̇ך̇,Unclassifiable,,,,,
,,16,,ב̊̊ע̇דת,Unclassifiable,,,,,
,,17,שע]ר̊,שער,Unclassifiable,,,,,
,,18,מקום,מ̊̊קום,Same,,,,,
,,19,תגור,תגור,Same,,,,,
,,20,אל,אל,Same,,,,,
,,21,יה̊י,יהי,Same,,,,,
,,22,[,אשנב,Unclassifiable,,,,,
,,23,,ובית,Unclassifiable,,,,,
,,24,,מביט,Unclassifiable,,,,,
,,25,,מבוא,Unclassifiable,,,,,
,,26,סב]י̊ב,סביב,Unclassifiable,,,,,
,12,1,לכל,לכל,Same,,,,,
,,2,זכר,זכ֟ר,Same,,,,,
,,3,אל,אל,Same,,,,,
,,4,תבן,תתן,Lexical,,,,,
,,5,תאר,תאר,Same,,,,,
,,6,[,ובית,Unclassifiable,,,,,
,,7,,נשים,Unclassifiable,,,,,
,,8,,אל,Unclassifiable,,,,,
,,9,],תסתו֟יד,Unclassifiable,,,,,
,13,1,כי,כי,Same,,,,,
,,2,מבגד,מבגד,Same,,,,,
,,3,יצא,יצא,Same,,,,,
,,4,סס,עש,Lexical,Synonym,,,,
,,5,[ומא]ש̊ה,ומאשה,Unclassifiable,,,,,
,,6,רעת,רעת,Same,,,,,
,,7,א̊שה,אשה,Same,,,,,
,14,1,טוב,מטוב,Morphological,Preposition,,,,
,,2,רע,רוע,Morphological,Orthographical,,,,
,,3,איש,איש,Same,,,,,
,,4,מטוב,מטיב,Morphological,Orthographical,,,,
,,5,א̇שה,אשה,Same,,,,,
,,6,ובת,ובית,Morphological,Orthographical,,,,
,,7,מפחדת,מחרפת,Lexical,,,,,
,,8,מבול,תביע,Lexical,,,,,
,,9,חרפה,אשה,Lexical,,,,,
,15,1,אזכרה,אזכר,Morphological,Grammatical,,,,
,,2,נא,נא,Same,,,,,
,,3,מעשי,מעשי,Same,,,,,
,,4,אל,אל,Same,,,,,
