Chapter ,Verse,Word,MS_A_mg,MS_A,MS_C,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
5,4,1,,אל,אל,Same,,,,,
,,2,,תאמר,תאמר,Same,,,,,
,,3,,חטאתי,חטאתי,Same,,,,,
,,4,,ומה,ומה,Same,,,,,
,,5,,יעשה,יהיה,Lexical,,,,,
,,6,,לי,לו,Morphological,Suffix Pron.,,,,
,,7,,מאומה,,Plus_Minus,,,,,
,,8,,כי,כי,Same,,,,,
,,9,,אל,ייי,Lexical,Synonym,,,,
,,10,,ארך,ארך,Same,,,,,
,,11,,אפים,אפים,Same,,,,,
,,12,,הוא,הוא,Same,,,,,
,5,1,,אל,אל,Same,,,,,
,,2,,סליחה,סליחה,Same,,,,,
,,3,,אל,אל,Same,,,,,
,,4,,תבטח,תבטח,Same,,,,,
,,5,,להוסיף,להוסיף,Same,,,,,
,,6,,עון,עון,Same,,,,,
,,7,,על,על,Same,,,,,
,,8,,עון,עון,Same,,,,,
,6,1,,ואמרת,ואמרת,Same,,,,,
,,2,,רחמיו,רבים,Inversion,,,,,
,,3,,רבים,רחמיו,Inversion,,,,,
,,4,,לרוב,לרוב,Same,,,,,
,,5,,עונותי,עוונותי,Morphological,Orthographical,,,,
,,6,,יסלח,יסלח,Same,,,,,
,,7,,כי,כי,Same,,,,,
,,8,,רחמים,רחמים,Same,,,,,
,,9,,ואף,ואף,Same,,,,,
,,10,,עמו,עמו,Same,,,,,
,,11,,ואל,ועל,Lexical,,,,,
,,12,,רשעים,רשעים,Same,,,,,
,,13,,ינוח,יניח,Morphological,Orthographical,,,,
,,14,,רגזו,רגזו,Same,,,,,
,7,1,,אל,אל,Same,,,,,
,,2,,תאחר,תאחר,Same,,,,,
,,3,,לשוב,לשוב,Same,,,,,
,,4,,אליו,אליו,Same,,,,,
,,5,,ואל,ואל,Same,,,,,
,,6,,תתעבר,תתעבר,Same,,,,,
,,7,,מיום,מיום,Same,,,,,
,,8,,אל,,Lexical,Synonym,,,,
,,9,,יום,ליום,Lexical,Synonym,,,,
,,10,,כי,כי,Same,,,,,
,,11,,פתאום,פתאום,Same,,,,,
,,12,,יצא,יצא,Same,,,,,
,,13,,זעמו,זעמו,Same,,,,,
,,14,,וביום,ובעת,Lexical,Synonym,,,,
,,15,,נקם,נקם,Same,,,,,
,,16,,תספה,תספה,Same,,,,,
,9,1,,אל,אל,Same,,,,,
,,2,,תהיה,תהי,Morphological,Grammatical,,,,
,,3,,זורה,זורה,Same,,,,,
,,4,,לכל,לכל,Same,,,,,
,,5,,רוח,רוח,Same,,,,,
,,6,,,ואל,Plus_Minus,,,,,
,,7,,ופונה,תלך,Lexical,,,,,
,,8,,דרך,לכל,Lexical,,,,,
,,9,,שבולת,שביל,Lexical,,,,,
,10,1,,היה,היה,Same,,,,,
,,2,,סמוך,סמוך,Same,,,,,
,,3,,על,על,Same,,,,,
,,4,,דעתך,דברך,Lexical,Synonym,,,,
,,5,,ואחר,ואחר,Same,,,,,
,,6,,יהי,יהיה,Morphological,Grammatical,,,,
,,7,,דברך,דבריך,Morphological,Singular/Plural,,,,
,11,1,,היה,היה,Same,,,,,
,,2,,ממהר,נכון,Lexical,,,,,
,,3,,להאזין,בשמועה,Lexical,Synonym,,,,
,,4,,,טובה,Plus_Minus,,,,,
,,5,,ובארך,ובארך,Same,,,,,
,,6,,רוח,ענה,Lexical,,,,,
,,7,,השב,תענה,Lexical,Synonym,,,,
,,8,,פתגם,נכונה,Lexical,Synonym,,,,
,12,1,,אם,אם,Same,,,,,
,,2,,יש,יש,Same,,,,,
,,3,,אתך,אתך,Same,,,,,
,,4,,ענה,ענה,Same,,,,,
,,5,,רעך,ריעיך,Morphological,Singular/Plural,Orthographical,,,
,,6,,ואם,ואם,Same,,,,,
,,7,,אין,אין,Same,,,,,
,,8,,,שים,Plus_Minus,,,,,
,,9,,ידך,ידך,Same,,,,,
,,10,,על,על,Same,,,,,
,,11,,פיך,פיך,Same,,,,,
,13,1,,כבוד,כבוד,Same,,,,,
,,2,,וקלון,וקלון,Same,,,,,
,,3,,ביוד,ביד,Morphological,Orthographical,,,,
,,4,,בוטא,בוטה,Morphological,Orthographical,,,,
,,5,,ולשון,ולשון,Same,,,,,
,,6,,אדם,אדם,Same,,,,,
,,7,,מפלתו,מפליטו,Lexical,Phonetic_affinity,,,,
36,24,1,,,חיך,,,,,,
,,2,,,יטעם,,,,,,
,,3,,,מטעמי,,,,,,
,,4,,,זבד,,,,,,
,,5,,,ולב,,,,,,
,,6,,,נבון,,,,,,
,,7,,,יטעם,,,,,,
,,8,,,מטעמי,,,,,,
,,9,,,כזב,,,,,,
6,5,1,,חיך,חיך,Same,,,,,
,,2,,ערב,ערב,Same,,,,,
,,3,,ירבה,ירבה,Same,,,,,
,,4,,אוהב,אוהב,Same,,,,,
,,5,,ושפתי,ושפתי,Same,,,,,
,,6,,חן,חן,Same,,,,,
,,7,,שואלו,שואלי,Morphological,Suffix Pron.,,,,
,,8,,שלום,שלום,Same,,,,,
,6,1,,אנשי,אנשי,Same,,,,,
,,2,,שלומך,שלומיך,Morphological,Orthographical,,,,
,,3,,יהיו,יהיו,Same,,,,,
,,4,,רבים,רבים,Same,,,,,
,,5,,ובעל,ובעל,Same,,,,,
,,6,,סודך,סודך,Same,,,,,
,,7,,אחד,אחד,Same,,,,,
,,8,,מאלף,מאלף,Same,,,,,
37,1,1,,,כל,,,,,,
,,2,,,אוהב,,,,,,
,,3,,,יאמר,,,,,,
,,4,,,אהבתו,,,,,,
,,5,,,,,,,,,
,,6,,,,,,,,,
,,7,,,,,,,,,
,,8,,,,,,,,,
,,9,,,,,,,,,
,2,1,,,הלא,,,,,,
,,2,,,,,,,,,
,,3,,,בעת,,,,,,
,,4,,,יגיע,,,,,,
,,5,,,עליו,,,,,,
,,6,,,,,,,,,
,,7,,,דין,,,,,,
,,8,,,מות,,,,,,
,,9,,,רע,,,,,,
,,10,,,כנפש,,,,,,
,,11,,,יהפך,,,,,,
,,12,,,לצר,,,,,,
6,7,1,,קנית,קנית,Same,,,,,
,,2,,אוהב,אוהב,Same,,,,,
,,3,,בניסין,בנסיון,Morphological,Orthographical,,,,
,,4,,קנהו,קנהו,Same,,,,,
,,5,,ואל,ואל,Same,,,,,
,,6,,תמהר,תמהר,Same,,,,,
,,7,,לבטח,לבטוח,Morphological,Orthographical,,,,
,,8,,עליו,עליו,Same,,,,,
,9,1,,יש,יש,Same,,,,,
,,2,,אוהב,אוהב,Same,,,,,
,,3,,נהפך,נהפך,Same,,,,,
,,4,,לשנא,לשונא,Morphological,Orthographical,,,,
,,5,,ואת,ואת,Same,,,,,
,,6,,ריב,ריב,Same,,,,,
,,7,,חרפתך,חרפתך,Same,,,,,
,,8,,יחשוף,יחשוך,Lexical,,Mispelling,,,
,10,1,,יש,יש,Same,,,,,
,,2,,אוהב,אוהב,Same,,,,,
,,3,,חבר,חבר,Same,,,,,
,,4,,שלחן,שלחן,Same,,,,,
,,5,,ולא,ולא,Same,,,,,
,,6,,ימצא,ימצא,Same,,,,,
,,7,,ביום,ביום,Same,,,,,
,,8,,רעה,רעה,Same,,,,,
,8,1,,כי,,Plus_Minus,,,,,
,,2,,יש,יש,Same,,,,,
,,3,,אוהב,אוהב,Same,,,,,
,,4,,כפי,בפני,Lexical,,,,,
,,5,,עת,עת,Same,,,,,
,,6,,ואל,ולא,Lexical,Syntax,,,,
,,7,,יעמוד,יעמד,Morphological,Syntax,,,,
,,8,,ביום,ביום,Same,,,,,
,,9,,צרה,צרה,Same,,,,,
,12,1,,אם,אם,Same,,,,,
,,2,,תשיגך,תשיגנו,Morphological,Suffix Pron.,,,,
,,3,,רעה,,Plus_Minus,,,,,
,,4,,יהפך,נרפך,Lexical,,,,,
,,5,,בך,בך,Same,,,,,
,,6,,ומפניך,ומפניך,Same,,,,,
,,7,,יסתר,יסתר,Same,,,,,
,13,1,,משנאיך,משונאיך,Morphological,Orthographical,,,,
,,2,,הבדל,הבדל,Same,,,,,
,,3,,ומאהביך,ומאוהביך,Morphological,Orthographical,,,,
,,4,,השמר,השמר,Same,,,,,
,14,1,,אוהב,אוהב,Same,,,,,
,,2,,אמונה,אמונה,Same,,,,,
,,3,,אוהב,,Plus_Minus,,,,,
,,4,,,מגן,Same,,,,,
,,5,,תקוף,תקיף,Morphological,Orthographical,,,,
,,,,תקוף,תקיף,Morphological,Grammatical,,,,
,,6,,ומוצאו,ומוצאו,Same,,,,,
,,7,,מצא,מצא,Same,,,,,
,,8,,,הוא,Plus_Minus,,,,,
,,9,,הון,הון,Same,,,,,
,15,1,,לאוהב,אוהב,Morphological,Lexical,,,,
,,2,,אמונה,אמונה,Same,,,,,
,,3,,אין,אין,Same,,,,,
,,4,,מחיר,מחיר,Same,,,,,
,,5,,ואין,ואין,Same,,,,,
,,6,,משקל,משקל,Same,,,,,
,,7,,לטובתו,לטובתו,Same,,,,,
3,27,1,,לב,לב,Same,,,,,
,,2,,כבד,כבד,Same,,,,,
,,3,,ירבו,יכביד,Lexical,,,,,
,,4,,מכאביו,כאבן,Lexical,,,,,
,,5,,ומתחולל,וחוטא,Lexical,,,,,
,,6,,מוסיף,יוסיף,Morphological,Grammatical,,,,
,,7,,עון,חטא,Lexical,Synonym,,,,
,,8,,על,על,Same,,,,,
,,9,,עון,חטא,Lexical,Synonym,,,,
6,18,1,,,בני,Plus_Minus,,,,,
,,2,,,מנוער,Plus_Minus,,,,,
,,3,,,קבל,Plus_Minus,,,,,
,,4,,,מוסר,Plus_Minus,,,,,
,,5,,,ועד,Plus_Minus,,,,,
,,6,,,שיבה,Plus_Minus,,,,,
,,7,,,תשיג,Plus_Minus,,,,,
,,8,,,חכמה,Plus_Minus,,,,,
,19,1,,כחורש,כחורש,Same,,,,,
,,2,,וכקוצר,וכקוצר,Same,,,,,
,,3,,קרב,קרב,Same,,,,,
,,4,,אליה,אליה,Same,,,,,
,,5,,וקוה,וקוה,Same,,,,,
,,6,,לרב,לרוב,Morphological,Orthographical,,,,
,,7,,תבואתה,תבואתה,Same,,,,,
,,8,,כי,כי,Same,,,,,
,,9,,בעבדתה,בעבודתה̇,Morphological,Orthographical,,,,
,,10,,מעט,מעט,Same,,,,,
,,11,,תעבוד,תעבוד,Same,,,,,
,,12,,ו֯למחר,ו֯למחר,Same,,,,,
,,13,,תאכל,תאכל,Same,,,,,
,,14,,פריה,פריה,Same,,,,,
,28,1,,כי,כי,Same,,,,,
,,2,,לאח̇ו֯ר,לאח̇ו֯ר,Same,,,,,
,,3,,תמצא,תמצא,Same,,,,,
,,4,,מנוחתה,מנוחתה,Same,,,,,
,,5,,ונהפך,ותהפך,Morphological,Grammatical,,,,
,,6,,לך,לך,Same,,,,,
,,7,,לתענוג,לתענוג,Same,,,,,
,35,1,,כל,כל,Same,,,,,
,,2,,שיחה,שיחה,Same,,,,,
,,3,,חפוץ,חפוץ,Same,,,,,
,,4,,לשמע,לשמוע,Morphological,Orthographical,,,,
,,5,,ומשל,ומשל,Same,,,,,
,,6,,בינה,בינה,Same,,,,,
,,7,,אל֯,אל֯,Same,,,,,
,,8,,יצאך,יצאך,Same,,,,,
7,1,1,,אל,אל,Same,,,,,
,,2,,תעש,תעש,Same,,,,,
,,,,לך,,Plus_Minus,,,,,
,,3,,רעה,רע,Morphological,Grammatical,,,,
,,4,,ואל,ו̊א̊[ל],Unclassifiable,,,,,
,,5,,י̇שיגך,י̇שיגך,Same,,,,,
,,6,,רע,רע,Same,,,,,
,2,1,,הרחק,רחק,Morphological,Determination,,,,
,,2,,מעון,מעון,Same,,,,,
,,3,,ויט,[וי]ט̊,Unclassifiable,,,,,
,,4,,ממך,ממך,Same,,,,,
,4,1,,אל,אל,Same,,,,,
,,2,,תבקש,תבקש,Same,,,,,
,,3,,מאל֯,מאל֯,Same,,,,,
,,4,,ממ̊שלת,ממ̊שלת,Same,,,,,
,,5,,וכן,וכן,Same,,,,,
,,6,,ממלך,כמלך,Lexical,,,,,
,,7,,מושב,מושב,Same,,,,,
,,8,,כבוד,כבוד,Same,,,,,
,6,1,,אל,אל,Same,,,,,
,,2,,תבקש,תבקש,Same,,,,,
,,3,,להיות,להיות,Same,,,,,
,,4,,מושל,,Plus_Minus,,,,,
,,5,,אם,אם,Same,,,,,
,,6,,אין,אין,Same,,,,,
,,7,,לך,לך,Same,,,,,
,,8,,חיל,חיל,Same,,,,,
,,9,,להשבית,להשבית,Same,,,,,
,,10,,זדון,זדון,Same,,,,,
,17,1,,מאד,מאד,Same,,,,,
,,2,,מאד,מאד,Same,,,,,
,,3,,השפיל,השפל,Morphological,Orthographical,,,,
,,4,,גאוה,גאוה,Same,,,,,
,,5,,כי,כי,Same,,,,,
,,6,,תקות,תקות,Same,,,,,
,,7,,אנוש,אנוש,Same,,,,,
,,8,,רמה,לרמה,Morphological,,,,,
,20,1,,אל,אל,Same,,,,,
,,2,,תדע,תרע̇,Lexical,Letter interchange,,,,
,,3,,באמת,עבד,Lexical,,,,,
,,4,,עובד,עובד,Same,,,,,
,,5,,אמת,אמת,Same,,,,,
,,6,,וכן,וכן,Same,,,,,
,,7,,שוכר,שכיר̇,Morphological,Grammatical,,,,
,,8,,נותן,נותן,Same,,,,,
,,9,,נפשו,נפשו,Same,,,,,
,21,1,,עבד,עבד,Same,,,,,
,,2,,משכיל,משכ̇י̇ל,Same,,,,,
,,3,,חבב,אהוב,Lexical,Synonym,Grammatical,,,
,,4,,כנפש,כנפש,Same,,,,,
,,5,,אל,אל,Same,,,,,
,,6,,תמנע,תמנע,Same,,,,,
,,7,,ממנו,ממנו,Same,,,,,
,,8,,חפש,חופש,Morphological,Orthographical,,,,
,23,1,,בנים,בנים,Same,,,,,
,,2,,לך,לך,Same,,,,,
,,3,,יסיר,יסר,Morphological,Grammatical,,,,
,,4,,אותם,אותם,Same,,,,,
,,5,,ושא,ושא,Same,,,,,
,,6,,להם,להם,Same,,,,,
,,7,,נשים,>,Plus_Minus,,,,,
,,8,,בנעוריהם,בנעוריהם,Same,,,,,
,24,1,,בנות,בנים,Morphological,Masc/Fem,,,,
,,2,,לך,לך,Same,,,,,
,,3,,נצור,נצור,Same,,,,,
,,4,,שארם,שאר̊[ם ],Unclassifiable,,,,,
,,5,,אל,ו̊[א]ל֯,Unclassifiable,,,,,
,,6,,תאיר,תאר,Morphological,Orthographical,,,,
,,7,,אלהם,להם,Lexical,Synonym,,,,
,,8,,פנים,פנים,Same,,,,,
,25,1,,הוצא,הוציא,Morphological,Orthographical,,,,
,,2,,בת,[ב]ת̇,Unclassifiable,,,,,
,,3,,ויצא,ויצא,Same,,,,,
,,4,,עסק,עסק,Same,,,,,
,,5,,ואל,ואל,Same,,,,,
,,6,,נבון,גבר,Inversion,,,,,
,,7,,גבר,נבון,Inversion,,,,,
,,8,,חברה,זבדה,Lexical,Synonym,,,,
8,7,1,,אל,אל,Same,,,,,
,,2,,תתהלל,תה̇לל,Morphological,Grammatical,,,,
,,3,,על,,,,,,,
,,4,,גוֹע,,,,,,,
,,5,,זכר,,,,,,,
,,6,,כלנו,,,,,,,
,,7,,נאס̇פים,,,,,,,
